Code	Display	Definition
270002	Female first cousin	
375005	Sibling	
444000	Legal sibling	
609005	Adoptive father	
1354005	Orphan female	
2272004	Half-sister	
2316007	Adoptive son	
2368000	Great-great grandmother	
2481008	Working mother	
2959006	Female cousin	
3425009	Oldest daughter	
3851003	Surrogate daughter	
4577005	First cousin	
6676009	Youngest daughter	
8458002	Foster father	
8674003	Step son	
9306000	Legal parent	
9947008	Natural father	
10896006	Identical twin sibling	
10960006	Working father	
11286003	Twin sibling	
11393001	Great-great grand child	
11434005	Male second cousin	
11773006	Legal brother	
11993008	Male first cousin	
12241003	Foster son	
12629003	Single mother	
13038009	Older brother	
13157002	Older sibling	
13443008	Second cousin	
13646006	Natural parent	
14469008	Legal child	
15130002	Surrogate parent	
17219007	Male fiance	
17925003	Adoptive brother	
17945006	Natural grandmother	
18205005	Wesleyan Methodist, follower of religion	
18906004	Foster sibling	
19343003	Twin sister	
19686009	Younger sister	
21093007	Half-sibling	
21464003	Adoptive mother	
21506002	Female second cousin	
22387007	Surrogate child	
22573006	Stepdaughter	
22609000	Adoptive grandparent	
22963000	Legal sister	
25211005	Aunt	
27508009	Surrogate mother	
27733009	Sr - Sister	
28010004	Shiite muslim, follower of religion	
29539002	Younger sibling	
29644004	Fraternal twin sister	
29787005	Foster brother	
30578000	Stepfather	
31656007	Adoptive grandmother	
31831004	Foster daughter	
33969000	Great-grandparent	
34581001	Niece	
34871008	Grandfather	
34972000	Only daughter	
38048003	Uncle	
38248007	Oldest son	
38265003	Foster mother	
38312007	Grandparent	
39062003	Foster child	
40683002	Parent	
41057000	Surrogate son	
41795004	Legal son	
41953004	Adoptive parent	
44181008	Granddaughter	
45929001	Half-brother	
46363003	Stepsister	
47801002	Male cousin	
48385004	Acquaintance	
48673000	Adoptive child	
50058005	Identical twin sister	
50261002	Great-grandfather	
51616000	Sephardic Jew, follower of religion	
53201003	Older sister	
54056000	Trustee	
55538000	Cousin	
58293006	Foster sister	
58626002	Legal guardian	
60614009	Natural brother	
62090008	Legal mother	
62296006	Natural grand-father	
64988008	Sunni muslim, follower of religion	
65412001	Step-mother	
65616008	Son	
65656005	Natural mother	
65853000	Student	
66089001	Daughter	
66839005	Father	
67005001	Adoptive daughter	
67147004	Legal father	
67822003	Child	
68021009	Great-great grand-parent	
70578009	Grand son	
70862002	Contact person	
70924004	Brother	
72012000	Great grand child	
72705000	Mother	
73678001	Natural sister	
74128007	Step parent	
74489007	Younger child	
75226009	Natural child	
75615008	Surrogate father	
76022008	Adoptive sister	
76087000	Step brother	
78194006	Identical twin brother	
78272007	Natural grand-parent	
78652007	Great grand-mother	
78872000	Orphan male	
79508001	Adoptive sibling	
79756005	Boyfriend	
80386000	Great-great grand-father	
80587008	Jehovah's Witness, follower of religion	
81173009	Only son	
81276006	Twin brother	
81467001	Fraternal twin brother	
81706006	Ashkenazi Jew	
82101005	Natural sibling	
83408003	Working parent	
83420006	Natural daughter	
83559000	Nephew	
84390006	Girlfriend	
85058002	Adoptive grandfather	
85411004	Younger brother	
85683001	Single father	
86372007	Grand child	
86764008	Step child	
88510002	Step sibling	
89681006	Youngest son	
90921004	Foster parent	
105428002	Homosexual parents	
105429005	Elderly parents	
105431001	Adopted person	
105436006	Elderly person	
105437002	Elderly man	
105438007	Elderly woman	
105449001	Sick relative	
105450001	Alcoholic relative	
105451002	Demented relative	
105452009	Diabetic relative	
105453004	Schizophrenic relative	
105454005	Disabled relative	
105455006	Donor for medical or surgical procedure	
105456007	Live donor	
105457003	Cadaver donor	
105458008	Candidate donor	
105459000	Accepted donor	
105460005	Rejected donor	
105461009	Organ donor	
105462002	Donor of kidney for transplant	
105463007	Donor for liver transplant	
105464001	Eye donor for corneal transplant	
105465000	Donor for heart transplant	
105466004	Donor for lung transplant	
105467008	Donor for heart-lung transplant	
105468003	Tissue donor	
105469006	Bone tissue donor	
105470007	Blood donor	
105471006	Bone marrow donor	
105472004	Sperm donor for artificial insemination	
105473009	Husband sperm donor for artificial insemination	
105474003	Related sperm donor for artificial insemination	
113157001	Grandmother	
113158006	Fraternal twin sibling	
113159003	Legal daughter	
113160008	Natural son	
113161007	Female fiance	
113163005	Friend	
116153009	Donor of control material	
116154003	Patient	
125677006	Relative	
125678001	First degree blood relative	
125679009	Blood relative	
127848009	Spouse	
127849001	Husband	
127850001	Wife	
127851002	Fiance	
133931009	Infant	
133932002	Caregiver	
133933007	Newborn	
133936004	Adult	
133937008	Adolescent	
160234004	Salvation Army member	
160498000	School child	
160505009	Common-law husband	
160506005	Common-law wife	
160540005	Roman Catholic	
160542002	Atheist	
160543007	Jew	
160544001	Christian Science Church	
160545000	Hindu	
160549006	Christian	
160557009	Baptist	
160558004	Methodist	
160560002	Presbyterian	
160562005	Pentecostal	
160563000	Evangelist	
160566008	Christadelphian	
160567004	Agnostic	
160772005	Voluntary worker	
161158003	Immigrant	
224080001	Committed Christian, follower of religion	
224526002	Woman	
224527006	Person in the work environment	
224528001	Employee	
224619008	Migrant	
224627004	General category of person	
248544006	Rastafarian, follower of religion	
255409004	Pregnant woman	
257497009	Animal rider	
257498004	Rider of motorcycle	
257499007	Pedal cyclist	
257500003	Passenger	
257501004	Occupant of motor vehicle	
257502006	Occupant of tram	
257503001	Pillion passenger	
257504007	Person riding on outside of vehicle	
257505008	Person travelling on outside of train	
257506009	Front seat passenger	
257508005	Back seat passenger	
257509002	Occupant of animal-drawn vehicle	
257510007	Passenger on commercial watercraft	
257511006	Passenger on station	
257512004	Passenger on train	
257513009	Member of public	
257514003	Member of public involved incidentally	
257516001	Member of public on ground	
257517005	Occupant of nonmotor vehicle	
257518000	Pedestrian	
257519008	Person trespassing on railway line	
257521003	Railway employee on train	
257522005	Recreational watercraft user	
257523000	Swimmer	
257524006	User of animal-drawn vehicle	
257525007	Watercraft dweller	
257526008	Waterskier	
262043009	Companion	
266943008	Single parent	
268557009	Sportsman	
271448006	Anglican, follower of religion	
276035002	Voluntary helper	
276036001	Voluntary visitor	
276037005	Volunteer helper	
276119007	Nonconformist	
303069001	Person in the transport environment	
303071001	Person in the family	
303072008	Person in the home environment	
303073003	Person in the religious environment	
303118004	Person in the healthcare environment	
303119007	Person in the community environment	
303120001	Person in the recreational environment	
303121002	Person in the educational environment	
303122009	Crewmember	
303977004	Occupant of railway vehicle	
303980003	Driver of motor vehicle	
303981004	Driver of animal-drawn vehicle	
303983001	Passenger of animal-drawn vehicle	
303984007	Passenger on pedal cycle	
303985008	Occupant of watercraft	
303986009	Occupant of aircraft	
303987000	Horse rider	
303988005	Passenger on aircraft	
303989002	Crewmember on aircraft	
303990006	Passenger of motor vehicle	
303991005	Trespasser	
303992003	Car passenger	
303993008	Coach passenger	
309456003	Clergy	
309687009	Buddhist, follower of religion	
309884000	Muslim, follower of religion	
309885004	Protestant, follower of religion	
309886003	Quaker, follower of religion	
310543008	Graduate	
313415001	Identical twin	
313416000	Heterozygous twin	
314712007	Parachutist	
314767008	Bird fancier	
339947000	Man	
360852005	Bum	
360863008	Beggar	
360984002	Hasidic Jew, follower of religion	
366740002	Sikh, follower of religion	
373864002	Outpatient	
373929005	Orphan child	
385435006	Individual	
390790000	Asylum seeker	
394566006	Great-grandson	
394567002	Great-granddaughter	
394568007	Extended family member	
394571004	Employer	
394619001	Guardian	
394738000	Other related persons	
394854006	Immediate family member	
394855007	Non-immediate family member	
394856008	Paternal grand-father	
394857004	Maternal grand-father	
394858009	Paternal grand-mother	
394859001	Maternal grand-mother	
394860006	Distant relative	
394861005	Great-uncle	
394862003	Great-aunt	
394863008	Non-family member	
394921008	Cohabitee	
407542009	Informal carer	
407543004	Primary carer	
410597007	Person categorized by religious affiliation	
410598002	Person categorized by age	
410599005	Minor	
410600008	Pre-teen	
410601007	Child	
410602000	Preschool child	
410603005	Person in the legal environment	
410604004	Subject of record	
413327003	Student in full time education	
414043009	Domestic partner	
416034003	Primary screener	
416035002	Secondary screener	
416625007	Family reunion immigrant	
416800000	Inpatient	
418119000	Infant child	
419358007	Subject of record or other provider of history	
420058008	Provider of history other than subject	
420158005	Performer of method	
427568008	Neighbor	
427729003	Elim Pentecostalist, follower of religion	
427754003	Liberal Jew	
427755002	Lutheran, follower of religion	
427874000	Congregationalist, follower of religion	
427950002	Haredi Jew	
427963008	Advaitin Hindu, follower of religion	
427981006	Zen Buddhist	
428024001	Clinical trial participant	
428315004	Anabaptist, follower of religion	
428347009	Arya Samaj Hindu	
428373004	Coptic Orthodox, follower of religion	
428376007	Eastern Catholic	
428378008	Ethiopian Orthodox Tewahedo, follower of religion	
428407001	Theravada Buddhist	
428408006	Wiccan	
428410008	Shakti Hindu	
428496003	Tibetan Buddhist, follower of religion	
428503004	Orthodox Christian	
428504005	Christian Spiritualist, follower of religion	
428506007	Druid, follower of religion	
428620006	Smarta Hindu	
428666001	Nichiren Buddhist	
428792000	Case contact	
428801007	Ismaili Muslim	
428815009	Ahmadi, follower of religion	
428816005	Armenian Catholic	
428820009	Pure Land Buddhist, follower of religion	
428821008	Seventh Day Adventist	
429158002	Greek Orthodox	
429171004	Spiritualist	
429379008	Shiva Hindu, follower of religion	
429509008	Reform Jew, follower of religion	
429511004	Vaishnava Hindu	
429527006	New Kadampa Tradition Buddhist	
429533002	Mahayana Buddhist	
429534008	Masorti Jew, follower of religion	
429539003	Calvinist	
429543004	Taoist, follower of religion	
429544005	Russian Orthodox, follower of religion	
429545006	Sanatana Dharma follower	
429547003	Shinto	
429577009	Patient advocate	
429644000	Orthodox Jew, follower of religion	
429708003	Unitarian, follower of religion	
429732005	Baha'i	
429787006	Jain, follower of religion	
429790000	Zoroastrian, follower of religion	
430098004	Donor for intestine transplant	
430101000	Whole blood donor	
430792005	Stem cell donor	
430882007	Egg donor	
431549007	Female child	
433152004	Boy	
433475001	Human oocyte donor, age 35 and older	
438347000	Person categorized by affiliation with belief system	
441463002	Sperm donor	
441465009	Stranger is sperm donor for artificial insemination	
441468006	Unrelated known sperm donor for artificial insemination	
444018008	Person with characteristic related to subject of record	
444052006	Spouse of subject	
444053001	Husband of subject	
444054007	Wife of subject	
444055008	Uncle of subject	
444145006	Partner in relationship with subject	
444146007	Boyfriend of subject	
444147003	Girlfriend of subject	
444148008	Person in family of subject	
444168002	Homemaker	
444169005	House husband	
444191003	Aunt of subject	
444192005	Child of subject	
444193000	First degree blood relative of subject	
444194006	Daughter of subject	
444199001	Friend of subject	
444210007	Cohabitee in relationship with subject	
444211006	Common law husband of subject	
444212004	Common law wife of subject	
444213009	Domestic partner of subject	
444241008	Son of subject	
444242001	Grandparent of subject	
444243006	Maternal grandfather of subject	
444244000	Maternal grandmother of subject	
444278006	Fiance of subject	
444279003	Female fiance of subject	
444280000	Male fiance of subject	
444292000	Paternal grandfather of subject	
444293005	Paternal grandmother of subject	
444294004	Parent of subject	
444295003	Father of subject	
444301002	Mother of subject	
444302009	Sibling of subject	
444303004	Brother of subject	
444304005	Sister of subject	
444464007	Recipient of biological material from subject	
444870008	Apostolic Pentecostalist, follower of religion	
446654005	Refugee	
450768005	International student	
699110007	Second degree blood relative	
699111006	Second degree blood relative of subject	
713176007	Cadaver donor for lung transplant	
713177003	Cadaver donor for heart transplant	
713178008	Cadaver donor for liver transplant	
713179000	Cadaver donor for corneal transplant	
713183000	Cadaver donor for kidney transplant	
713184006	Blood product donor	
713352007	Skin donor	
713353002	Live related liver donor	
713369009	Live related kidney donor	
715167002	Open Episcopal Church follower of religion	
471000122100	Multi-organ donor	
100217091000087103	Maternal aunt	
166557991000087101	Maternal great grand-father	
173704201000087107	Paternal first cousin	
194907391000087109	Maternal great grand-mother	
215424891000087101	Paternal great grand-mother	
286864561000087100	Maternal cousin	
396762341000087100	Paternal cousin	
398524981000087101	Paternal great grand-father	
583114651000087104	Maternal uncle	
