Code	Display	Definition
102002	Hemoglobin Okaloosa	
120006	Ornithine racemase	
125001	Ferrous sulfate Fe^59^	
126000	Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase	
130002	Hemoglobin Hopkins-II	
131003	Dolichyl-phosphate mannosyltransferase	
159002	Ferrocyanide salt	
164003	Phosphoenolpyruvate-protein phosphotransferase	
178002	Uridyl diphosphate galactose	
186002	HLA-Cw9 antigen	
187006	Cyanocobalamin Co^57^	
200001	Berberine	
217008	Blood group antigen IH	
231008	3-Hydroxyisobutyrate dehydrogenase	
238002	Heptachlor	
261000	Codeine phosphate	
296000	Coumachlor	
322006	Octylphenoxy P.H. ethanol	
327000	^76^Arsenic	
329002	^127^Antimony	
336001	Fibrinogen Tokyo II	
340005	Enzyme variant	
363000	Fibrinogen San Juan	
370000	beta>2S< Glycoprotein	
371001	Acylcarnitine hydrolase	
377002	Sparteine	
392001	^151^Gadolinium	
395004	Immunoglobulin pentamer	
412004	Ribose-5-phosphate isomerase	
424006	Citramalyl-CoA lyase	
425007	Hemoglobin Nagoya	
432003	Carminic acid	
438004	2-Hydroxyglutarate dehydrogenase	
462009	Urease (ATP-hydrolysing)	
472007	Vegetable textile fiber	
476005	CD1b - Cluster of differentiation antigen 1b	
498001	Nitrilase	
501001	Blood group antibody Sf^a^	
505005	Blood group antibody M'	
506006	3-Oxosteroid delta^1^-dehydrogenase	
515004	Blood group antigen Giaigue	
519005	Free protein S	
521000	^197^Mercury	
529003	Guanosine	
538001	2,3-Dihydroxybenzoate 3,4-dioxygenase	
566009	Acrosin	
576007	Blood group antibody Duck	
578008	Hemoglobin Jianghua	
584006	Blood group antibody Wr^b^	
585007	SP - Substance P	
591009	2-Oxoisovalerate dehydrogenase (acylating)	
593007	Blood group antibody Holmes	
594001	2-Oxoglutarate synthase	
597008	^247^Californium	
604000	Plant sapogenin glycoside	
611001	Hippurate hydrolase	
620005	Trichlorophenol	
648005	Oil of calamus	
662003	Aeromonas proteolytica aminopeptidase	
668004	^185^Osmium	
683009	Mercuric acetate	
686001	Plastoquinol-plastocyanin reductase	
693002	Trichothecene	
698006	Erythromycin lactobionate	
699003	Coal tar extract	
704006	Blood group antigen Rx	
732002	N-valeraldehyde	
735000	Blood group antigen Jobbins	
747006	Oxamniquine	
773001	Hemoglobin M-Iwate	
785009	Dextranase	
804003	Creosotic acid	
819002	Lytic antibody	
850000	Stizolobate synthase	
859004	Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase	
860009	Immunoglobulin, aggregated	
873008	Urethan	
876000	D antigen	
877009	Carboxypeptidase A	
889006	[Acetyl-CoA carboxylase] kinase	
896008	Ice	
905001	o-Dihydroxycoumarin O^7^-glucosyltransferase	
923009	Complement component 2	
925002	Sodium iodipamide	
963005	Pyridoxine 4-dehydrogenase	
974001	Adenosylmethionine decarboxylase	
979006	Carbamate kinase	
993004	Palladium compound	
1002007	Mannotetraose 2-alpha-N-acetylglucosaminyltransferase	
1010008	N-Acetylneuraminate monooxygenase	
1018001	Nornicotine	
1025008	^93^Molybdenum	
1047008	Guanine deaminase	
1050006	Melilotate 3-monooxygenase	
1057009	Phosphate salt	
1065007	E. coli periplasmic proteinase	
1080001	^202^Thallium	
1091008	Coagulation factor inhibitor	
1097007	Blood group antigen M^A^	
1105007	Isochorismate synthase	
1113008	Pancreatic ribonuclease	
1137008	^240^Uranium	
1149009	Hemoglobin Barcelona	
1160000	Antibody to antigen in ISBT system LU	
1166006	Ti - Titanium	
1169004	Hemoglobin Gower-2	
1171004	Fibrinogen Kawaguchi	
1185009	Hemoglobin Roseau-Pointe Ã  Pitre	
1189003	Hemoglobin F-M-Osaka	
1190007	Mephenoxalone	
1219001	Diethyl xanthogen disulfide	
1223009	Blood group antigen Marks	
1244009	Fibrinogen Madrid I	
1248007	Leucostoma neutral proteinase	
1269009	Amikacin sulfate	
1272002	Pteridine oxidase	
1273007	Blood group antibody Evelyn	
1313002	Nitrate reductase (cytochrome)	
1319003	Blood group antibody K18	
1320009	Hemoglobin Manitoba	
1325004	Metocurine iodide	
1331001	Methamidophos	
1334009	Estradiol receptor	
1336006	Deoxycortone	
1341003	Hemoglobin Ta-li	
1346008	Blue shade eosin stain	
1355006	Coagulation factor IX Oxford 3 variant	
1368003	Iodine 131	
1371006	Blood group antigen Big	
1373009	^93^Zirconium	
1381005	^126^Iodine	
1394007	Iron pentacarbonyl	
1396009	Actinium	
1405004	Blood group antibody M^e^	
1408002	Blood group antibody 1123K	
1416006	Radium compound	
1450002	Methylpentynol	
1466000	Cyclomaltodextrinase	
1471007	Elastin	
1472000	Adenosine-phosphate deaminase	
1476002	Codeine sulfate	
1477006	Hemoglobin Yatsushiro	
1496005	Proto-oncogene	
1506001	CH1 (ISBT symbol)	
1517000	HLA - Human leukocyte antigen B21	
1530004	6-Carboxyhexanoate-coenzyme A ligase	
1535009	Nitrogen fluoride	
1536005	Pargyline hydrochloride	
1540001	Tellurium radioisotope	
1545006	Uridine phosphorylase	
1557002	Talc dusting powder	
1565004	Blood group antibody Buckalew	
1575001	Maltose tetrapalmitate	
1603001	Cobalt isotope	
1607000	Homoserine kinase	
1609002	N-octyl isosafrole sulfoxide	
1634002	Blood group antigen Ven	
1649005	Blood group antigen Sul	
1656004	Hemoglobin Shaare Zedek	
1660001	Plant seeds	
1668008	Ceforanide	
1672007	Ligase	
1673002	Xylenol	
1675009	^86^Rubidium	
1676005	Blood group antibody LW^ab^	
1681001	Blood group antibody BLe^b^	
1696002	12-Hydroperoxy eicosatetraenoic acid	
1701009	^191^Gold	
1710001	UA - Uric acid	
1726000	Diamond	
1727009	Deoxylimonate A-ring-lactonase	
1740004	Deoxy cytidine triphosphate	
1764003	Saccharopine dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^,L-glutamate-forming)	
1768000	Sucrose phosphorylase	
1786002	Leucine-transfer ribonucleic acid ligase	
1793003	Sodium trichloroacetate	
1795005	Glyodin	
1798007	Hemoglobin Hammersmith	
1799004	L-Lysine oxidase	
1823002	Hemoglobin Tochigi	
1827001	Ribonuclease T>1<	
1886008	Verdoglobin	
1904005	Galactoside 3-fucosyltransferase	
1914001	von Willebrand factor antibody	
1916004	Boroglycerin	
1940007	Immunoglobulin, GM>21< allotype	
1944003	Coagulation factor X Patient variant	
1956002	Buclizine hydrochloride	
1971003	Loxapine hydrochloride	
1975007	Blood group antibody Niemetz	
1978009	Site-specific methyltransferase (cytosine-specific)	
1985008	Vomitus	
1991005	Lignin	
2000001	Heavy nitrogen	
2006007	Inosine diphosphate	
2008008	^67^Gallium	
2009000	Cobalt carbonyl	
2017008	Deoxyribonucleic acid topoisomerase	
2027002	Alternaria serine proteinase	
2029004	Fibrinogen Oslo II	
2038002	Blood group antibody Bg^b^	
2039005	sym-Norspermidine synthase	
2050008	Choloylglycine hydrolase	
2064008	L-Xylulokinase	
2082006	Vitronectin receptor alpha chain	
2085008	Oncogene protein TCL	
2088005	Page blue G-90 stain	
2096000	Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase	
2100004	Sulfonethylmethane	
2101000	Yeast proteinase B	
2125008	Betazole	
2130007	Cyclohexane-1,2-diol dehydrogenase	
2141009	Hydrogen	
2147008	Blood group antigen Paular	
2151005	Pyridoxamine-pyruvate aminotransferase	
2154002	Tagaturonate reductase	
2159007	Acid red 27	
2163000	Dicofol	
2168009	Bisphosphoglycerate mutase	
2179004	Malonate-semialdehyde dehydratase	
2189000	Hemoglobin F-Dammam	
2194000	^101^Rhodium	
2195004	Tocainide hydrochloride	
2197007	Boric acid topical agent	
2201007	Bacteriopurpurin	
2208001	Phenylserine aldolase	
2212007	Fibrinogen Bethesda II	
2215009	Azuresin	
2240002	Guanidinobutyrase	
2249001	Gentamicin sulfate	
2254005	Orotate	
2260005	Human leukocyte antigen DRw18	
2262002	Cellulose polysulfatase	
2264001	Selenium isotope	
2309006	Au - Gold	
2311002	Prostacyclin synthase	
2329007	Blood group antibody Vel	
2331003	Saccharide	
2338009	Root	
2343002	Guthion	
2346005	Vascormone	
2354007	3'-Nucleotidase	
2358005	Glass fragment, device	
2369008	Indole-3-acetate beta-glucosyltransferase	
2370009	Uridine diphosphate-N-acetylmuramate-alanine ligase	
2376003	Mercury compound	
2384004	^230^Uranium	
2404002	Blood group antibody St^a^	
2405001	b- Propiolactone	
2414006	Prolactin receptor	
2430003	Silicon radioisotope	
2431004	Blood group antibody Friedberg	
2441001	Mercury radioisotope	
2444009	Human leukocyte antigen Dw25	
2450004	Mannosamine	
2462000	Glucose dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^)	
2466002	Chloride peroxidase	
2500009	Lymphocyte antigen CDw41b	
2509005	D-Glutamate oxidase	
2516006	Metallic sulfide compound	
2522002	Extravascular blood	
2529006	Hemoglobin Wood	
2537003	Antituberculosis agent	
2568004	Blood group antigen McAuley	
2573005	Immunoglobulin, GM>13< allotype	
2575003	Zinc alpha-2 glycoprotein	
2595009	^119m^Tellurium	
2597001	Alpha-1 globulin	
2611008	Blood group antibody La Fave	
2637006	Indium isotope	
2648004	Bile vomitus	
2649007	Azo-dye	
2660003	Sodium dehydrocholate	
2671002	3-Methyl-2-oxobutanoate hydroxy-methyltransferase	
2674005	^128^Cesium	
2676007	C3(H20)	
2678008	Hemoglobin New Mexico	
2680002	Factor XIII antibody	
2698003	Natural gas	
2705002	^72^Arsenic	
2706001	Blood group antigen Vennera	
2719002	Tartrate dehydratase	
2721007	Blood group antigen McC^f^	
2728001	Lewis system antigen	
2753003	Blood group antibody M>1<	
2754009	Hemoglobin F-Kennestone	
2765004	SC3 (ISBT symbol)	
2778004	Pleural fluid	
2796008	Methanthelinium	
2799001	Methylbenzethonium	
2823004	Hemoglobin Bristol	
2832002	Molybdenum compound	
2846002	Hemoglobin Saitama	
2869004	Ethanoic acid	
2878005	Pethidine hydrochloride	
2880004	Calcium sulfate	
2883002	Exopolygalacturonate lyase	
2913009	Immunoglobulin Epsilon chain	
2916001	^22^Neon	
2925007	Fluoromethalone	
2927004	Rescinnamine	
2938004	Pyrazole	
2942001	Carbon^14^ D-xylose	
2950005	Hemoglobin L-Persian Gulf	
2958003	Zinc caprylate	
2964005	Dimethoxyamphetamine	
2974008	Trichophyton schoenleinii collagenase	
2988007	Human leukocyte antigen Aw	
2991007	Mecamylamine hydrochloride	
2995003	Arecoline	
3027009	^133^Barium	
3031003	Dihydroxyaluminum sodium carbonate	
3040004	Technetium Tc^99m^ disofenin	
3045009	Nitrochlorobenzene	
3052006	Ornithine ketoacid aminotransferase	
3066001	Triiodothyroacetic acid	
3070009	Aspartate-ammonia ligase	
3087006	Oil of male fern	
3107005	Hemoglobin Shuangfeng	
3108000	Aspergillus deoxyribonuclease K>1<	
3131000	Blood group antigen Middel	
3136005	Cefoperazone sodium	
3142009	Azacyclonol	
3145006	Penicillic acid	
3150000	Sialate O-acetylesterase	
3151001	Left upper lobe mucus	
3155005	3-Phosphoglyceroyl-phosphate-polyphosphate phosphotransferase	
3161008	3-Methylhistidine	
3167007	Hard coal	
3187008	Blood group antigen Nielsen	
3193000	alpha-1,4-Glucan-protein synthase (uridine diphosphate-forming)	
3197004	Inosine monophosphate	
3209002	Pancuronium sodium	
3212004	Manganese sulfate	
3225007	Fibrinogen Seattle I	
3232003	o-Benzyl-parachlorophenol	
3271000	Hemoglobin Southampton	
3273002	Tyrosine-ester sulfotransferase	
