Lvl	Code	Display	Definition
0	FAMMEMB	family member	"A relationship between two people characterizing their ""familial"" relationship"
1	CHILD	child	The player of the role is a child of the scoping entity.
2	CHLDADOPT	adopted child	The player of the role is a child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
3	DAUADOPT	adopted daughter	The player of the role is a female child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
3	SONADOPT	adopted son	The player of the role is a male child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
2	CHLDFOST	foster child	The player of the role is a child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
3	DAUFOST	foster daughter	The player of the role is a female child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
3	SONFOST	foster son	The player of the role is a male child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
2	DAUC	daughter	Description: The player of the role is a female child (of any type) of scoping entity (parent)
3	DAU	natural daughter	The player of the role is a female offspring of the scoping entity (parent).
3	STPDAU	stepdaughter	The player of the role is a daughter of the scoping person's spouse by a previous union.
2	NCHILD	natural child	The player of the role is an offspring of the scoping entity as determined by birth.
3	SON	natural son	The player of the role is a male offspring of the scoping entity (parent).
2	SONC	son	Description: The player of the role is a male child (of any type) of scoping entity (parent)
3	STPSON	stepson	The player of the role is a son of the scoping person's spouse by a previous union.
2	STPCHLD	step child	The player of the role is a child of the scoping person's spouse by a previous union.
1	EXT	extended family member	Description: A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle.
2	AUNT	aunt	The player of the role is a sister of the scoping person's mother or father.
3	MAUNT	maternal aunt	Description:The player of the role is a biological sister of the scoping person's biological mother.
3	PAUNT	paternal aunt	Description:The player of the role is a biological sister of the scoping person's biological father.
2	COUSN	cousin	"The player of the role is a relative of the scoping person descended from a common ancestor, such as a 	grandparent, by two or more steps in a diverging line."
3	MCOUSN	maternal cousin	Description:The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's mother's side, such as a grandparent, by two or more steps in a diverging line.
3	PCOUSN	paternal cousin	Description:The player of the role is a biological relative of the scoping person descended from a common ancestor on the player's father's side, such as a grandparent, by two or more steps in a diverging line.
2	GGRPRN	great grandparent	The player of the role is a parent of the scoping person's grandparent.
3	GGRFTH	great grandfather	The player of the role is the father of the scoping person's grandparent.
4	MGGRFTH	maternal great-grandfather	Description:The player of the role is the biological father of the scoping person's biological mother's parent.
4	PGGRFTH	paternal great-grandfather	Description:The player of the role is the biological father of the scoping person's biological father's parent.
3	GGRMTH	great grandmother	The player of the role is the mother of the scoping person's grandparent.
4	MGGRMTH	maternal great-grandmother	Description:The player of the role is the biological mother of the scoping person's biological mother's parent.
4	PGGRMTH	paternal great-grandmother	Description:The player of the role is the biological mother of the scoping person's biological father's parent.
3	MGGRPRN	maternal great-grandparent	Description:The player of the role is a biological parent of the scoping person's biological mother's parent.
3	PGGRPRN	paternal great-grandparent	Description:The player of the role is a biological parent of the scoping person's biological father's parent.
2	GRNDCHILD	grandchild	The player of the role is a child of the scoping person's son or daughter.
3	GRNDDAU	granddaughter	The player of the role is a daughter of the scoping person's son or daughter.
3	GRNDSON	grandson	The player of the role is a son of the scoping person's son or daughter.
2	GRPRN	grandparent	The player of the role is a parent of the scoping person's mother or father.
3	GRFTH	grandfather	The player of the role is the father of the scoping person's mother or father.
4	MGRFTH	maternal grandfather	Description:The player of the role is the biological father of the scoping person's biological mother.
4	PGRFTH	paternal grandfather	Description:The player of the role is the biological father of the scoping person's biological father.
3	GRMTH	grandmother	The player of the role is the mother of the scoping person's mother or father.
4	MGRMTH	maternal grandmother	Description:The player of the role is the biological mother of the scoping person's biological mother.
4	PGRMTH	paternal grandmother	Description:The player of the role is the biological mother of the scoping person's biological father.
3	MGRPRN	maternal grandparent	Description:The player of the role is the biological parent of the scoping person's biological mother.
3	PGRPRN	paternal grandparent	Description:The player of the role is the biological parent of the scoping person's biological father.
2	INLAW	inlaw	A relationship between an individual and a member of their spousal partner's immediate family.
3	CHLDINLAW	child-in-law	The player of the role is the spouse of scoping person's child.
4	DAUINLAW	daughter in-law	The player of the role is the wife of scoping person's son.
4	SONINLAW	son in-law	The player of the role is the husband of scoping person's daughter.
3	PRNINLAW	parent in-law	The player of the role is the parent of scoping person's husband or wife.
4	FTHINLAW	father-in-law	The player of the role is the father of the scoping person's husband or wife.
4	MTHINLAW	mother-in-law	The player of the role is the mother of the scoping person's husband or wife.
3	SIBINLAW	sibling in-law	The player of the role is: (1) a sibling of the scoping person's spouse, or (2) the spouse of the scoping person's sibling, or (3) the spouse of a sibling of the scoping person's spouse.
4	BROINLAW	brother-in-law	The player of the role is: (1) a brother of the scoping person's spouse, or (2) the husband of the scoping person's sister, or (3) the husband of a sister of the scoping person's spouse.
4	SISINLAW	sister-in-law	The player of the role is: (1) a sister of the scoping person's spouse, or (2) the wife of the scoping person's brother, or (3) the wife of a brother of the scoping person's spouse.
2	NIENEPH	niece/nephew	"The player of the role is a child of scoping person's brother or sister or of the brother or sister of the 	scoping person's spouse."
3	NEPHEW	nephew	"The player of the role is a son of the scoping person's brother or sister or of the brother or sister of the 	scoping person's spouse."
3	NIECE	niece	"The player of the role is a daughter of the scoping person's brother or sister or of the brother or sister of the 	scoping person's spouse."
