Code	Display	Definition
786005	Clinical stage I B	
1523005	Clinical stage IV B	
2640006	Clinical stage 4	
2786004	Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage III	
5701003	Lymphoma stage IIe	
5856006	N3 stage	
6123003	pT4 stage	
6534007	Epithelial ovarian tumor, FIGO stage IIA	
13104003	Clinical stage I	
14410001	Tumor stage T3	
14926007	pM1: Distant metastasis	
14927003	FIGO VC stage II	
15076001	pN2 category	
15540006	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage I	
15542003	Clinical stage I C	
17076002	pMX: Distant metastasis cannot be assessed	
17691001	Clinical stage I S	
17816005	Clinical stage II B	
19408000	pM0: No distant metastasis	
21917009	pN0 category	
22079002	N4 category	
22364004	International Federation of Gynecology and Obstetrics vulvar carcinoma (FIGO VC) stage III	
23351008	Tumor stage T1	
25654007	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage Ib	
27167007	Metastasis stage MX	
30382004	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage II	
30440004	Lymphoma stage I	
30893008	Metastasis stage M0	
31747005	Modified Dukes stage B1	
33177002	Clinical stage IV C	
33907000	Clinical stage III E	
34537009	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage IV	
35440002	Clinical stage I D	
36018006	Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage IA	
37415008	Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage IC	
39617003	Clinical stage II C	
39880006	pT0 category	
43189003	pTX category	
44255004	Lymphoma stage IIIe	
44401000	Tumor stage Tis	
45552005	pN1 category	
46059003	Node stage N2	
46333007	Clinical stage 1 A	
46756001	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage I A	
48105005	Clinical stage 3 C	
49182004	pN3 category	
49219005	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage Ia	
50237009	International Federation of Gynecology and Obstetrics endometrial cancer (FIGO EC) stage I	
50283003	Clinical stage III	
52708004	International Federation of Gynecology and Obstetrics cervical cancer (FIGO CC) stage III	
52774001	Clinical stage 2 A	
52865009	Clinical stage IV D	
53173007	Modified Dukes stage B2	
53623008	Node stage N1	
53786006	pT1 category	
54452005	pNX category	
54498006	Modified Dukes stage C1	
55336000	Clinical stage III D	
55440008	Metastasis stage M1	
56380009	Clinical stage I E	
56587006	International Federation of Gynecology and Obstetrics vulvar carcinoma (FIGO VC) stage I	
56769006	Modified Dukes stage A	
56944001	Lymphoma stage III	
57306005	Modified Dukes stage C2	
57605004	Modified Dukes stage D	
58790005	Tumor stage T0	
60275007	FIGO EC stage I B	
60333009	Clinical stage II	
62455006	N0 stage	
64062008	Clinical stage III B	
64202001	Clinical stage IV E	
64574000	Epithelial ovarian tumor, FIGO stage IIB	
64737002	Epithelial ovarian tumor, FIGO stage IB	
64877001	Clinical stage III S	
65235001	Epithelial ovarian tumor, FIGO stage I	
65306007	FIGO VM stage II	
65536004	FIGO VM stage III	
65565005	T4 stage	
66445009	Lymphoma stage IV	
67101007	TX stage	
67673008	T2 stage	
68240008	FIGO CC stage II	
69605008	Clinical stage II E	
70046009	FIGO VM stage I	
70664003	Clinical stage IV S	
71725004	Clinical stage IV A	
72780008	FIGO VC stage IV	
73055006	FIGO VM stage V	
73082003	Clinical stage III A	
73511008	Epithelial ovarian tumor, FIGO stage IV	
74053007	Lymphoma stage IIIs	
75339006	Lymphoma stage III 2	
76422004	Lymphoma stage II	
78199001	Epithelial ovarian tumor, FIGO stage IIC	
78607009	Epithelial ovarian tumor, FIGO stage II	
79420006	Node stage NX	
80588003	FIGO VM stage IV	
80663004	pN4 stage	
80898003	pT2 stage	
80975007	FIGO EC stage III	
81822003	FIGO CC stage IV	
84633001	Lymphoma stage IIIse	
84921008	pTis stage	
87977001	International Federation of Gynecology and Obstetrics cervical cancer stage Ib occ	
89487002	Lymphoma stage Ie	
90321006	Clinical stage II S	
90402004	pT3 stage	
112240001	Clinical stage II D	
112241002	Lymphoma stage III 1	
258297005	Metastasis stage M2	
258298000	Metastasis stage M3	
258299008	Metastasis stage M4	
261646003	Tumor stage T1a	
261647007	Tumor stage T1a1	
261648002	Tumor stage T1a2	
261649005	Tumor stage T1b	
261650005	Tumor stage T1c	
261651009	Tumor stage T2a	
261652002	Tumor stage T2b	
261653007	Tumor stage T2c	
261654001	Tumor stage T3a	
261655000	Tumor stage T3b	
261656004	Tumor stage T3bi	
261657008	Tumor stage T3bii	
261658003	Tumor stage T3c	
261659006	Tumor stage T4a	
261660001	Tumor stage T4b	
261661002	Tumor stage T4c	
261662009	Tumor stage T4d	
261927002	Metastasis stage M1a	
261928007	Metastasis stage M1b	
261929004	Metastasis stage M1c	
261967001	Node stage N2a	
261968006	Node stage N2b	
261969003	Node stage N2c	
277672002	Node stage N1a	
277674001	Node stage N1b	
277744001	Metastasis stage pM1	
277772008	Node stage N1bi	
277776006	Node stage N1bii	
277777002	Node stage N1biii	
277778007	Node stage N1biv	
313108002	Tumor stage T1mic	
313110000	Tumor stage T1b1	
313111001	Tumor stage T1b2	
313145008	Tumor stage Tis pu	
313146009	Tumor stage Tis pd	
369793000	Tis (--): Carcinoma in situ (endometrium / uterine cervix)	
369794006	T1 (I): Cervical carcinoma confined to uterus	
369795007	T1a (IA): Invasive carcinoma of uterine cervix diagnosed by microscopy only	
369796008	T1a1 (IA1): Tumor of uterine cervix with stromal invasion < 3.0 mm in depth and horizontal spread < 7.0 mm	
369797004	T1a2 (IA2): Tumor of uterine cervix with stromal invasion > 3.0 mm but < 5.0 mm in depth and horizontal spread < 7.0 mm	
369798009	T1b (IB): Tumor of uterine cervix with clinically visible lesion confined to the cervix or microscopic lesion greater than T1a2/IA2	
369799001	T1b1 (IB1): Tumor of uterine cervix, clinically visible lesion < 4.0 mm in greatest dimension	
369800002	T1b2 (IB2): Tumor of uterine cervix, clinically visible lesion > 4.0 mm in greatest dimension	
369801003	T2 (II): Tumor of uterine cervix invades beyond the uterus but not to pelvic wall or to lower third of vagina	
369802005	T2a (IIA): Tumor of uterine cervix, T2 without parametrial invasion	
369803000	T2b (IIB): Tumor of uterine cervix, T2 with parametrial invasion	
369804006	T3 (III): Tumor of uterine cervix extends to the pelvic wall and/or involves the lower third of the vagina and/or causes hydronephrosis or nonfunctioning kidney	
369805007	T3a (IIIA): Tumor of uterine cervix involves lower third of vagina, but not pelvic wall	
369806008	T4 (IVA): Tumor of uterine cervix/vagina invades mucosa of bladder or rectum and/or extends beyond true pelvis	
369807004	T1 (I): Endometrial tumor confined to corpus uteri	
369808009	T1a (IA): Tumor limited to endometrium	
369809001	T1b (IB): Endometrial tumor invades up to or less than one half of the endometrium	
369810006	T1c (IC): Endometrial tumor invades to more than one half of the endometrium	
369811005	T2 (II): Endometrial tumor invades cervix, but does not extend beyond uterus	
369812003	T2a (IIA): Endometrial tumor with endocervical glandular involvement	
369813008	T2b (IIB): Endometrial tumor with cervical stromal invasion	
369814002	T3 (III): Endometrial tumor with local and/or regional spread as specified in T3a, b, N1 and FIGO IIIA, B, and C below or adnexa (direct extension or metastasis) and/or cancer cells in ascites or peritoneal washings	
369815001	T3b (IIIB): Endometrial tumor with vaginal involvement (direct extension or metastasis)	
369816000	T4 (IVA): Endometrial tumor invades bladder mucosa and/or bowel mucosa	
369817009	T1 (I): Tumor confined to vagina	
369818004	T2 (II): Vaginal tumor invades paravaginal tissues but not to pelvic wall	
369819007	T3 (III): Vaginal tumor extends to pelvic wall	
369820001	T1 (I): Tumor limited to fallopian tube(s)	
369821002	T1a (IA): Tumor limited to one fallopian tube without penetrating the serosal surface, no ascites	
369822009	T1b (IB): Tumor limited to both tubes without penetrating the serosal surface: no ascites	
369823004	T1c (IC): Tumor limited to one or both tube(s) with extension into or through the tubal serosa; or with malignant cells in ascites or peritoneal washings: FALLOPIAN TUBE: Salpingectomy	
369824005	T2 (II): Fallopian tube tumor involves one or both tube(s) with pelvic extension	
369825006	T2a (IIA): Fallopian tube tumor with extension and/or metastasis to the uterus and/or ovaries	
369826007	T2b (IIB): Fallopian tube/ovarian tumor with extension to other pelvic structures	
369827003	T2c (IIC): Fallopian tube/ovarian tumor with pelvic extension (T2a or b) with malignant cells in ascites or peritoneal washings	
369828008	T3 and/or N1 (III): Fallopian tube tumor involves one or both tube(s) with peritoneal implants outside the pelvis and/or regional lymph node metastasis	
369829000	T3a (IIIA): Fallopian tube/ovarian tumor with microscopic peritoneal metastasis beyond pelvis	
369830005	T3b (IIIB): Fallopian tube/ovarian tumor with macroscopic peritoneal metastasis beyond pelvis < 2 cm in greatest dimension	
369831009	T3c (IIIC): Fallopian tube/ovarian tumor with peritoneal metastasis beyond pelvis > 2 cm in greatest dimension and/or regional lymph node metastasis	
369832002	T1: Clinically inapparent prostate tumor not palpable or visible by imaging	
369833007	T1a: Prostate tumor incidental histologic finding in 5% or less of tissue resected	
369834001	T1b: Prostate tumor incidental histologic finding in > 5% of tissue resected	
369835000	T1c: Tumor identified by needle biopsy because of elevated prostate specific antigen: PROSTATE: Biopsy/transurethral resection: PROSTATE: Resection	
369836004	T2a: Prostate tumor involves one lobe	
369837008	T3: Prostate tumor extends through the prostatic capsule	
369838003	T3a: Prostate tumor with extracapsular extension (unilateral or bilateral)	
369839006	T3b: Prostate tumor invades the seminal vesicle(s)	
369840008	T2: Aerodigestive tract tumor causing bone erosion or destruction, except for the posterior antral wall, including extension into hard palate and/or middle nasal meatus	
369841007	T1: Aerodigestive tract tumor < 2 cm in greatest dimension	
369842000	T1: Aerodigestive tract tumor confined to ethmoid with or without bone erosion	
369843005	T1: Aerodigestive tract tumor confined to nasopharynx	
369844004	T1: Tumor limited to one subsite of hypo-pharynx and < 2 cm in greatest dimension	
369845003	T1: Tumor limited to one subsite of supraglottis with normal vocal cord mobility	
369846002	T1: Tumor limited to subglottis	
369847006	T1: Tumor limited to the antral mucosa with no erosion or destruction of bone	
369848001	T1: Tumor limited to vocal cord(s) (may involve anterior or posterior commissure) with normal mobility	
369849009	T1a: Tumor limited to one vocal cord	
369850009	T1b: Tumor involves both vocal cords	
369851008	T2: Aerodigestive tract tumor > 2 cm but < 4 cm in greatest dimension	
369852001	T2: Aerodigestive tract tumor > 2 cm but < 4 cm in greatest dimension without extraparenchymal extension	
369853006	T2: Aerodigestive tract tumor extends into nasal cavity	
369854000	T2: Aerodigestive tract tumor extends to soft tissue of oropharynx and/or nasal fossa	
369855004	T2: Aerodigestive tract tumor extends to supraglottis and/or subglottis, and/or with impaired vocal cord mobility	
369856003	T2: Aerodigestive tract tumor extends to vocal cord(s) with normal or impaired mobility	
369857007	T2: Aerodigestive tract tumor invades more than one subsite of hypopharynx or an adjacent site, or measures > 2 cm but < 4 cm in greatest dimension, without fixation of hemilarynx	
369858002	T2: Aerodigestive tract tumor invades mucosa of >1 adjacent subsite of supraglottis/glottis/region outside supraglottis, (mucosa of base of tongue/vallecula/medial wall of piriform sinus) without fixation of larynx	
369859005	T2a: Aerodigestive tract tumor without parapharyngeal extension	
369860000	T2b: Aerodigestive tract tumor with parapharyngeal extension	
369861001	T3: Aerodigestive tract tumor > 4 cm in greatest dimension	
369862008	T3: Aerodigestive tract tumor extends to anterior orbit and/or maxillary sinus	
369863003	T3: Aerodigestive tract tumor having extraparenchymal extension without seventh nerve involvement, and/or > 4 cm but < 6 cm in greatest dimension	
369864009	T3: Aerodigestive tract tumor invades any of the following: bone of posterior wall of maxillary sinus, subcutaneous tissues, skin of cheek, floor or medial wall of orbit, infratemporal fossa, pterygoid plates, ethmoid sinuses	
369865005	T3: Aerodigestive tumor invades bony structures and/or paranasal sinuses	
369866006	T3: Aerodigestive tract tumor limited to larynx with vocal cord fixation	
369867002	T3: Aerodigestive tract tumor limited to larynx with vocal cord fixation and/or invades any of the following: postcricoid area, pre-epiglottic tissues, deep base of tongue	
369868007	T3: Aerodigestive tract tumor measures > 4 cm in greatest dimension, or with fixation of hemilarynx	
369869004	T4: Lip: Tumor invades adjacent structures (cortical bone, inferior alveolar nerve, floor of mouth, skin of face)	
369870003	T4: Oral Cavity: Tumor invades adjacent structures (cortical bone, deep (extrinsic) muscle of tongue, maxillary sinus, skin)	
369871004	T4: Aerodigestive tract tumor invades adjacent structures (pterygoid muscles, mandible, hard palate, deep muscle of tongue, larynx)	
369872006	T4: Aerodigestive tract tumor invades adjacent structures (thyroid/cricoid cartilage, carotid artery, soft tissues of neck, prevertebral fascia/muscles, thyroid and/or esophagus)	
369873001	T4: Aerodigestive tumor invades base of skull, seventh nerve, and/or exceeds 6 cm in greatest dimension	
