Code	Display	Definition
261023001	Pathological staging (qualifier value)	
260998006	Clinical staging (qualifier value)	
13808002	WR stage 3	
15972002	Walter Reed (WR) stage 2	
42114005	Walter Reed (WR) stage 1	
66470009	WR stage 5	
74542008	WR stage 4	
83200007	WR stage 6	
106241006	Gleason's microscopic prostatic carcinoma grading system	
106242004	Walter Reed staging of prostatic cancer	
106244003	FIGO staging system for endometrial carcinoma	
106245002	FIGO Vulva tumor staging	
106246001	FIGO staging system for vulvar melanoma	
106247005	FIGO staging system for epithelial tumor of ovary	
106250008	FIGO Cervical tumor staging	
106252000	Lymphoma staging descriptors	
110375007	Overlapping tumor	
134438001	Canadian Cardiovascular Society classification of angina	
135831005	Cardiovascular Limitations and Symptoms Profile angina score	
135832003	Cardiovascular Limitations and Symptoms Profile ankle swelling score	
135833008	Cardiovascular limitations and symptoms profile shortness of breath score	
135877001	Stroke risk	
160723003	Housing dependency scale	
165270003	Physical disability assessment score	
165271004	Physical disability admission score	
165272006	Physical disability inpatient score	
165273001	Physical disability discharge score	
165274007	Physical disability outpatient score	
165275008	Physical disability DV score	
251893009	Symptom ratings	
251894003	Exertion rating	
251895002	Leg fatigue rating	
251896001	Breathlessness rating	
251897005	Chest pain rating	
254292007	Tumor staging	
254293002	TNM tumor staging system	
254294008	Tumor-node-metastasis (TNM) head and neck tumor staging	
254295009	Tumor-node-metastasis (TNM) lip and oral cavity tumor staging	
254296005	Tumor-node-metastasis (TNM) oropharynx tumor staging	
254297001	Tumor-node-metastasis (TNM) nasopharynx tumor staging	
254298006	Tumor-node-metastasis (TNM) hypopharynx tumor staging	
254299003	Tumor-node-metastasis (TNM) supraglottic larynx tumor staging	
254300006	Tumor-node-metastasis (TNM) glottic larynx tumor staging	
254301005	Tumor-node-metastasis (TNM) subglottic larynx tumor staging	
254302003	Tumor-node-metastasis (TNM) maxillary sinus tumor staging	
254303008	Tumor-node-metastasis (TNM) salivary glands tumor staging	
254304002	Tumor-node-metastasis (TNM) thyroid gland tumor staging	
254305001	Tumor-node-metastasis (TNM) digestive system tumor staging	
254306000	Tumor-node-metastasis (TNM) esophagus tumor staging	
254307009	Tumor-node-metastasis (TNM) stomach tumor staging	
254309007	Tumor-node-metastasis (TNM) Small intestine tumor staging	
254310002	Tumor-node-metastasis (TNM) Colon and rectum tumor staging	
254311003	Tumor-node-metastasis (TNM) anal canal tumor staging	
254312005	Tumor-node-metastasis (TNM) liver tumor staging	
254313000	Tumor-node-metastasis (TNM) gallbladder tumor staging	
254314006	Tumor-node-metastasis (TNM) extrahepatic bile ducts tumor staging	
254315007	Tumor-node-metastasis (TNM) ampulla of vater tumor staging	
254316008	Tumor-node-metastasis (TNM) pancreas tumor staging	
254317004	Tumor-node-metastasis (TNM) lung and pleural tumor staging	
254318009	Tumor-node-metastasis (TNM) lung tumor staging	
254319001	Tumor-node-metastasis (TNM) pleural mesothelioma tumor staging	
254320007	Tumor-node-metastasis (TNM) bone and soft tissue tumor staging	
254321006	Tumor-node-metastasis (TNM) bone tumor staging	
254322004	Tumor-node-metastasis (TNM) soft tissues tumor staging	
254323009	Tumor-node-metastasis (TNM) skin tumor staging	
254324003	Tumor-node-metastasis (TNM) carcinoma of skin tumor staging	
254325002	Tumor-node-metastasis (TNM) malignant melanoma of skin staging	
254326001	Tumor-node-metastasis (TNM) breast tumor staging	
254327005	Tumor-node-metastasis (TNM) gynecological tumor staging	
254328000	Tumor-node-metastasis (TNM) vulva tumor staging	
254329008	Tumor-node-metastasis (TNM) vaginal tumor staging	
254330003	Tumor-node-metastasis (TNM) cervix uteri tumor staging	
254331004	Tumor-node-metastasis (TNM) corpus uteri tumor staging	
254332006	Tumor-node-metastasis (TNM) ovary tumor staging	
254333001	Tumor-node-metastasis (TNM) urological tumor staging	
254334007	Tumor-node-metastasis (TNM) penis tumor staging	
254335008	Tumor-node-metastasis (TNM) Prostate tumor staging	
254336009	Tumor-node-metastasis (TNM) testis tumor staging	
254337000	Tumor-node-metastasis (TNM) kidney tumor staging	
254338005	Tumor-node-metastasis (TNM) renal pelvis and ureter tumor staging	
254339002	Tumor-node-metastasis (TNM) urinary bladder tumor staging	
254340000	Tumor-node-metastasis (TNM) urethra tumor staging	
254341001	Tumor-node-metastasis (TNM) ophthalmic tumor staging	
254342008	Tumor-node-metastasis (TNM) carcinoma of eyelid staging	
254343003	Tumor-node-metastasis (TNM) malignant melanoma of eyelid staging	
254344009	Tumor-node-metastasis (TNM) carcinoma of conjunctiva staging	
254345005	Tumor-node-metastasis (TNM) malignant melanoma of conjunctiva staging	
254346006	Tumor-node-metastasis (TNM) malignant melanoma of uvea staging	
254347002	Tumor-node-metastasis (TNM) malignant melanoma of iris staging	
254348007	Tumor-node-metastasis (TNM) malignant melanoma of ciliary body staging	
