Code	Display	Definition
104001	Excision of lesion of patella	
115006	Fit removable orthodontic appliance	
119000	Thoracoscopic partial lobectomy of lung	
121005	Retrobulbar injection of therapeutic agent	
128004	Hand microscope examination of skin	
133000	Percutaneous implantation of neurostimulator electrodes into neuromuscular component	
135007	Arthrotomy of wrist joint with exploration and biopsy	
142007	Excision of tumor from shoulder area, deep, intramuscular	
146005	Repair of nonunion of metatarsal with bone graft	
153001	Cystourethroscopy with resection of ureterocele	
160007	Removal of foreign body of tendon and/or tendon sheath	
166001	Behavioral therapy	
170009	Special potency disk identification, vancomycin test	
174000	Harrison-Richardson operation on vagina	
176003	Anastomosis of rectum	
189009	Excision of lesion of artery	
197002	Mold to yeast conversion test	
230009	Miller operation, urethrovesical suspension	
243009	Replacement of cerebral ventricular tube	
245002	Division of nerve ganglion	
262007	Percutaneous aspiration of renal pelvis	
267001	Anal fistulectomy, multiple	
285008	Incision and drainage of vulva	
294002	Excisional biopsy of joint structure of spine	
295001	Nonexcisional destruction of cyst of ciliary body	
306005	US kidneys	
316002	Partial dacryocystectomy	
334003	Panorex examination of mandible	
342002	Amobarbital interview	
346004	Periodontal scaling and root planing, per quadrant	
348003	Radionuclide dynamic function study	
351005	Urinary undiversion of ureteral anastomosis	
352003	Reagent RBC, preparation antibody sensitized pool	
353008	IV/irrigation monitoring	
374009	Costosternoplasty for pectus excavatum repair	
388008	Blepharorrhaphy	
389000	Tobramycin level	
401004	Distal subtotal pancreatectomy	
406009	Fulguration of stomach lesion	
417005	Hospital re-admission	
435001	Pulmonary inhalation study	
445004	Repair of malunion of tibia	
456004	Total abdominal colectomy with ileostomy	
459006	Closed condylotomy of mandible	
463004	Closed reduction of coxofemoral joint dislocation with splint	
468008	Glutathione measurement	
474008	Esophagoenteric anastomosis, intrathoracic	
489004	Ferritin level	
493005	Urobilinogen measurement, 48-hour, feces	
494004	Excision of lesion of tonsil	
497006	Replacement of cochlear prosthesis, multiple channels	
503003	Corneal gluing	
531007	Open pulmonary valve commissurotomy with inflow occlusion	
533005	Repair of vesicocolic fistula	
535003	Closure of ureterovesicovaginal fistula	
540006	Antibody to single and double stranded DNA measurement	
543008	Choledochostomy with transduodenal sphincteroplasty	
545001	Operative procedure on lower leg	
549007	Incision of intracranial vein	
550007	Excision of lesion of adenoids	
559008	Excision of varicose vein	
570001	Vaccination for arthropod-borne viral encephalitis	
574005	Benzodiazepine measurement	
603006	Synchondrotomy	
617002	Bone graft of mandible	
618007	Frontal sinusectomy	
625000	Removal of supernumerary digit	
628003	Steinman test	
629006	Lysis of adhesions of urethra	
633004	Chart review by physician	
637003	Lysis of adhesions of nose	
642006	Cerebral thermography	
645008	Diagnostic procedure on vitreous	
647000	Excision of cervix by electroconization	
657004	Operation on bursa	
665001	Partial meniscectomy of temporomandibular joint	
670008	Electrosurgical epilation of eyebrow	
671007	Transplantation of testis	
673005	Indirect examination of larynx	
674004	Abduction test	
676002	Peritoneal dialysis including cannulation	
680007	Radiation physics consultation	
687005	Albumin/Globulin ratio	
695009	Destructive procedure of lesion on skin of trunk	
697001	Hepatitis A virus antibody measurement	
710006	Thromboendarterectomy with graft of mesenteric artery	
712003	Closed chest suction	
721002	Medical procedure on periurethral tissue	
722009	Fine needle biopsy of thymus	
726007	Pathology consultation, comprehensive, records and specimen with report	
730005	Incision of subcutaneous tissue	
741007	Operation on prostate	
746002	Chiropractic adjustment of coccyx subluxation	
753006	Manipulation of ankle AND foot	
754000	Total urethrectomy	
759005	Intracerebral electroencephalogram	
762008	Computerized axial tomography of cervical spine with contrast	
764009	Arthrodesis of interphalangeal joint of great toe	
767002	White blood cell count - observation	
789003	Cranial decompression, subtemporal, supratentorial	
791006	Dressing and fixation procedure	
807005	Excision of brain	
814007	Electrophoresis measurement	
817000	Excision of cyst of spleen	
831000	Drawer test	
851001	Root canal therapy, molar, excluding final restoration	
853003	Fecal fat measurement, 72-hour collection	
867007	Hypoglossofacial anastomosis	
870006	Carbamazepine measurement	
879007	Special blood coagulation test, explain by report	
881009	Separation of ciliary body	
893000	Tumor antigen measurement	
897004	Radical maxillary antrotomy	
910002	MHPG measurement, urine	
911003	Removal of subarachnoid-ureteral shunt	
913000	Chiropractic patient education	
926001	Embolectomy with catheter of radial artery by arm incision	
935008	Excision of bulbourethral gland	
941001	Endoscopy of pituitary gland	
945005	Excision of tibia and fibula for graft	
948007	Phlebectomy of intracranial varicose vein	
951000	Ultrasonic guidance for endomyocardial biopsy	
956005	Anesthesia for procedure on thoracic esophagus	
967006	Drug treatment education	
969009	Incision and exploration of larynx	
971009	Prosthetic construction and fitting	
1001000	Cauterization of Bartholin's gland	
1008006	Operation on nerve ganglion	
1019009	Removal of corneal epithelium	
1021004	Repair of scrotum	
1029002	Fetoscopy	
1032004	Enucleation of parotid gland cyst	
1035002	Minimum bactericidal concentration test, microdilution method	
1036001	Insertion of intravascular device in common iliac vein, complete	
1041009	Debridement of open fracture of phalanges of foot	
1042002	Paternity testing	
1043007	Doppler color flow velocity mapping	
1044001	Diagnostic ultrasound of abdomen and retroperitoneum	
1048003	Capillary blood sampling	
1054002	Sphincterotomy of papilla of Vater	
1071001	Proximal splenorenal anastomosis	
1084005	Excision of perinephric cyst	
1093006	Excision of abdominal varicose vein	
1103000	Transcrural mobilization of stapes	
1104006	Triad knee repair	
1115001	Decortication	
1119007	Closed reduction of dislocation of foot and toe	
1121002	Kinetic activities for range of motion	
1127003	Interstitial radium application	
1133007	Removal of intact mammary implant, bilateral	
1163003	Ureteroenterostomy	
1176009	Incision of inguinal region	
1181000	Excision of tendon for graft	
1186005	Anesthesia for procedure on bony pelvis	
1198000	Excisional biopsy of bone of scapula	
1209007	Arthroscopic repair lateral meniscus	
1225002	Upper arm X-ray	
1227005	Incision of subvalvular tissue for discrete subvalvular aortic stenosis	
1235008	Muscle transfer	
1237000	Application of cast, sugar tong	
1238005	Epiphyseal arrest by stapling of distal radius	
1251000	Incisional biopsy of testis	
1253002	Refusion of spine	
1258006	Excision of meniscus of wrist	
1266002	Closure of tympanic membrane perforation	
1267006	Electrocoagulation of lesion of vagina	
1278003	Open reduction of closed shoulder dislocation with fracture of greater tuberosity	
1279006	Repair of cardiac pacemaker pocket in skin AND/OR subcutaneous tissue	
1292009	MRI of bladder	
1299000	Excision of appendiceal stump	
1315009	Reconstruction of eyebrow	
1316005	Upper partial denture, cast metal base without resin saddles, including any conventional clasps, rests and teeth	
1324000	Cerebrospinal fluid immunoglobulin G ratio and immunoglobulin G index	
1327007	Procedure on Meckel diverticulum	
1328002	Ilioiliac shunt	
1329005	Division of congenital web of larynx	
1337002	Colosigmoidostomy	
1339004	Manual evacuation of feces	
1347004	Medical procedure on palate	
1352009	Anterior spinal rhizotomy	
1358008	Anti-human globulin test, enzyme technique, titer	
1366004	Breathing treatment	
1385001	Echography, scan B-mode for foetal age determination	
1390003	Laparoscopic sigmoid colectomy	
1398005	Direct thrombectomy of iliac vein by leg incision	
1399002	Incision and exploration of ureter	
1407007	Application of long leg cast, brace type	
1410000	Anesthesia for tympanotomy	
1411001	Operation on papillary muscle of heart	
1413003	Penetrating keratoplasty with homograft	
1414009	Angiography of arteriovenous shunt	
1417002	Operation on face	
1431002	pexy	
1440003	Repair with resection-recession	
1449002	Removal of hair	
1453000	Biofeedback, galvanic skin response	
1455007	Cerclage	
1457004	Truncal vagotomy with pyloroplasty and gastrostomy	
1494008	Osmolarity measurement	
1500007	Bilateral epididymovasostomy	
1501006	Altemeier operation, perineal rectal pull-through	
1505002	Hospital admission for isolation	
1529009	Aspiration of soft tissue	
1533002	Ureteroplication	
1550000	Amikacin level	
1555005	Brief group psychotherapy	
1559004	Interleukin (IL)-2 assay	
1576000	Repair of intestinouterine fistula	
1577009	Implantation of cardiac single-chamber device replacement, rate-responsive	
1578004	Reconstruction of ossicles with stapedectomy	
1583007	Tractotomy of mesencephalon	
1585000	Lengthening of gastrocnemius muscle	
1596008	Anesthesia for total elbow replacement	
1597004	Skeletal X-ray of ankle and foot	
1602006	Social service interview with planning	
1614003	Bilateral repair of inguinal hernia, direct	
1615002	Reline upper partial denture, chairside	
1616001	Galactosylceramide beta-galactosidase measurement, leukocytes	
1636000	Injection of sclerosing agent in varicose vein	
1638004	Cineplasty with cineplastic prosthesis of extremity	
1640009	History and physical examination, insurance	
1645004	Transduodenal sphincterotomy	
1651009	Excision of tendon sheath	
1653007	Internal fixation of bone without fracture reduction	
1669000	Making occupied bed	
