Code	Display	Definition
135809002	Nitrate contraindicated	
135811006	Diuretic contraindicated	
135822005	Lipid lowering therapy contraindicated	
135823000	Calcium channel blocker contraindicated	
169551000	Contraception contraindicated	
170954008	Hormone replacement therapy (HRT) contraindicated	
171277005	Sensitivity C/I - immunization	
171284002	Pertussis vaccine contraindicated	
183934000	Sensitivity contraindication to procedure	
183936003	Contraindication to live immunization	
266757004	Medical contraindication to procedure	
266758009	Immunization contraindicated	
268560002	Medical C/I - immunization	
275935009	Surgery contraindicated	
275974002	Measles/mumps/rubella vaccine contraindicated	
312451002	Aspirin prophylaxis contra-indicated	
315061006	Warfarin contraindicated	
315062004	Beta blocker contraindicated	
315363002	Statins contraindicated	
315364008	Angiotensin converting enzyme inhibitors contraindicated	
315591006	Fibrates contraindicated	
390795005	Pneumococcal vaccination contraindicated	
390796006	Influenza vaccination contraindicated	
390910005	Thrombolysis contraindicated	
394987009	Angiotensin II receptor antagonists contraindicated	
395174005	Nicotine replacement therapy contraindicated	
395175006	Bupropion contraindicated	
395675007	Oral contraceptive pill contraindicated	
407582002	Clopidogrel contraindicated	
413558003	Anticoagulation contraindicated	
414055003	Drug dependence home detoxification contraindicated	
414159007	Exercise tolerance test contraindicated	
414677003	Metformin contraindicated	
415571003	Spirometry reversibility testing contraindicated	
415666001	Administration of sulfonylurea contraindicated	
416091008	Glitazones contraindicated	
416475003	Combined calcium and vitamin D3 preparation contraindicated	
416704001	DXA scan contraindicated	
416759002	Non-steroidal anti-inflammatory drugs contraindicated	
416996000	Strontium ranelate contraindicated	
417101006	Selective estrogen receptor modulator contraindicated	
417128001	Bisphosphonates contraindicated	
438767006	Termination of pregnancy contraindicated	
438833006	Administration of drug or medicament contraindicated	
698468005	Bisoprolol contraindicated	
698521002	Simvastatin contraindicated	
699037006	Hepatitis B vaccination contraindicated	
703997000	Teriparatide contraindicated	
703999002	Raloxifene contraindicated	
707298000	Phosphodiesterase-5 inhibitor contraindicated	
715163003	Diphtheria vaccination contraindicated	
715166006	Bacillus Calmette-Guerin vaccination contraindicated	
170624001	Oral steroids stopped	
170688000	Lithium stopped	
170689008	Injectable phenothiazine stopped	
170919001	Warfarin therapy stopped	
170958006	Hormonal replacement therapy (HRT) stopped	
182840001	Drug treatment stopped - medical advice	
182841002	Dr stopped drugs - ineffective	
182842009	Doctor stopped drugs - side effect	
182843004	Dr stopped drugs -inconvenient	
182844005	Doctor stopped drugs - patient dislikes	
182845006	Doctor stopped drugs - avoid interaction	
182846007	Doctor stopped drugs - medical aim achieved	
274512008	Drug therapy discontinued	
309841001	Thyroxine treatment stopped	
394909009	Syringe driver discontinued	
395006008	Medication stopped - interaction	
395007004	Medication stopped - ineffective	
395008009	Medication stopped - contra-indication	
395009001	Medication stopped - side effect	
412782003	Inappropriate medication stopped	
425519007	Cardiopulmonary resuscitation discontinued due to medical control order	
425921008	Cardiopulmonary resuscitation discontinued due to do not resuscitate order	
426970003	Cardiopulmonary resuscitation discontinued due to return of spontaneous circulation	
426999008	Cardiopulmonary resuscitation discontinued due to signs of death	
427569000	Cardiopulmonary resuscitation discontinued as per protocol	
430279008	Drug treatment stopped at end of clinical trial	
438604008	Peritoneal dialysis therapy discontinued	
439516000	Hemodialysis therapy discontinued	
710765004	Wound drain discontinued	
713246009	Procedure discontinued by healthcare professional	
713247000	Procedure discontinued by patient	
713248005	Procedure discontinued by doctor	
162650008	Patient not examined	
162675007	General examination not done	
162882008	Respiratory system not examined	
162980001	CVS not examined	
163128002	GIT not examined	
163348001	GU system not examined	
163582008	Nervous system not examined	
163628001	Sensory system not examined	
163900009	O/E - CNS not examined	
164176006	ENT examination not performed	
164286000	O/E - temperature not taken	
164321005	O/E - skin not examined	
164445005	O/E - extremities not examined	
164503006	Orthopedic exam. not done	
164713001	Neurological diagnostic procedure - not done	
164725003	Visual testing not done	
164746007	Auditory/vestibular test not done	
164766003	Special ENT procedure not done	
164776000	Special CVS test not done	
164786004	Special GIT test not done	
164795007	Special urinary test not done	
164808009	Special female test not done	
164823004	Special male test not done	
164831009	Musculoskeletal test not done	
164853006	ECG not done	
164964005	Susceptibility skin test not done	
164978006	Mantoux test not done	
164985005	Kveim test not done	
164997006	Hypersensitivity skin test not done	
165008002	Allergy testing not done	
165017002	Lung function testing not done	
165026004	Lung volume test not done	
165035006	Respiratory flow rate not measured	
165074004	Cardiac function test not done	
165081006	Exercise tolerance test not done	
165104002	Metabolic function not tested	
165122004	Non-surgical biopsy not done	
165139002	Endoscopy not carried out	
165343008	Laboratory test requested - not done	
165377003	Hematology test request - not done	
165393007	Hemoglobin not estimated	
167219008	Urine not examined	
167260001	Urine glucose test not done	
167272007	Urine protein test not done	
167286006	Urine ketone test not done	
167296002	Urine blood test not done	
167306007	Urine pH test not done	
167317008	Urine bacteria test not done	
167322008	Urine urobilinogen not tested	
167594003	Feces not examined	
167701000	CSF: not examined	
167728005	CSF chemistry - not tested	
168497006	Radiographic imaging procedure not carried out	
169607004	No antenatal care	
169610006	Antenatal care: not attended	
169611005	No antenatal care: not known pregnant	
