Code	Display	Definition
156009	Spine board	
271003	Bone plate	
287000	Air receiver	
291005	Atomizer	
678001	Epilator	
739006	Bicycle ergometer	
793009	Mechanical power press	
882002	Diagnostic implant	
972002	Air filter, device	
989005	Linen cloth	
994005	Brush, device	
1211003	Treadmill, device	
1333003	Emesis basin, device	
1422002	Plastic mold, device	
1579007	Surgical drill, device	
1766001	Toboggan, device	
1941006	Silk cloth	
1962007	Dike, device	
2248009	Tracheal tube cuff	
2282003	Breast implant	
2287009	Nail file, device	
2468001	Breath analyzer, device	
2478003	Ocular prosthesis	
2491002	Intra-aortic balloon catheter, device	
3201004	Tent, device	
3319006	Artificial liver, device	
4408003	Endoscopic camera, device	
4632004	Hair cloth	
4816004	Metal device	
5041003	Adhesive strip, device	
5042005	Patient scale, device	
5159002	Physiologic monitoring system, device	
5679009	Bed sheet	
6012004	Hearing aid	
6097006	T-tube	
6822006	Microwave oven	
6919005	Protective clothing material	
6972009	Lithotripter	
7007007	Radiographic-fluoroscopic unit	
7402007	Probe	
7406005	Crib	
7704007	Stabilizing appliance	
7733008	Hydrocephalic shunt catheter	
7968002	Three-wheeled all-terrain vehicle	
7971005	Fogarty catheter	
8060009	Denture	
8118007	Crane	
8170008	Adhesive	
8384009	Band saw	
8407004	Bile collection bag	
8434001	Gaol	
8451008	Intramedullary nail	
8615009	Blood electrolyte analyzer	
8643000	Mortising machine	
8682003	Protective shield	
9017009	Ventricular intracranial catheter	
9096001	Support	
9129003	Feeding catheter	
9419002	Bobsled	
9458007	Elastic bandage	
9611009	Dermatotome	
9883003	Cargo handling gear	
10244001	Needle guide	
10371004	Electrostimulating analgesia unit	
10507000	Toeboard	
10826000	Industrial saw	
10850003	Radiographic-therapeutic unit	
10906003	Vein stripper	
11141007	Bone growth stimulator	
11158002	Electromyographic monitor and recorder	
11358008	Prosthetic valve	
11987000	Clinical chemistry analyzer	
12150006	Cannula	
12183004	Upper limb prosthesis	
12198002	Ice skate	
12953007	File	
13118005	Wool cloth	
13219008	Gastroscope	
13288007	Monitors	
13459008	Temporary artificial heart prosthesis	
13764006	Uterine sound	
13855007	Pillow	
13905003	Tennis ball	
14106009	Cardiac pacemaker implant	
14108005	Cage	
14116001	Analgesia unit	
14208000	Oil well	
14288003	Nasal septum button	
14339000	Button	
14364002	Camera	
14423008	Adhesive bandage	
14519003	Aspirator	
14548009	Harrington rod	
14762000	Alloy steel chain sling	
14789005	Prosthetic implant	
15000008	Air-conditioner	
15340005	Wood's light	
15447007	Arthroplasty prosthesis	
15644007	Anesthesia unit	
15869005	Dosimeter, device	
15873008	Boiler, device	
15922004	Gown, device	
16056004	Boots	
16349000	Orthopedic equipment	
16417001	Commercial breathing supply hoses diving operation, device	
16470007	Electrode, device	
16497000	Electric clipper, device	
16524003	Cotton cloth	
16540000	Umbrella catheter, device	
16650009	Splint, device	
17102003	NG - Nasogastric tube	
17107009	Prosthetic mitral valve	
17207004	Mattress, device	
17306006	Hernia belt, device	
17404008	Cardiac compression board, device	
17472008	Knife, device	
18151003	Punch, device	
18153000	Fluorescence immunoassay analyzer, device	
18411005	Chisel, device	
18666004	Finespun glass	
19257004	Defibrillator, device	
19328000	Blanket, device	
19443004	Radioactive implant, device	
19627002	Leather	
19762002	Leather belt	
19817005	Fan blade, device	
