Code	System	Display	Definition
1002-5	http://terminology.hl7.org/CodeSystem/v3-Race	American Indian or Alaska Native	American Indian or Alaska Native
1004-1	http://terminology.hl7.org/CodeSystem/v3-Race	American Indian	American Indian
1006-6	http://terminology.hl7.org/CodeSystem/v3-Race	Abenaki	Abenaki
1008-2	http://terminology.hl7.org/CodeSystem/v3-Race	Algonquian	Algonquian
1010-8	http://terminology.hl7.org/CodeSystem/v3-Race	Apache	Apache
1011-6	http://terminology.hl7.org/CodeSystem/v3-Race	Chiricahua	Chiricahua
1012-4	http://terminology.hl7.org/CodeSystem/v3-Race	Fort Sill Apache	Fort Sill Apache
1013-2	http://terminology.hl7.org/CodeSystem/v3-Race	Jicarilla Apache	Jicarilla Apache
1014-0	http://terminology.hl7.org/CodeSystem/v3-Race	Lipan Apache	Lipan Apache
1015-7	http://terminology.hl7.org/CodeSystem/v3-Race	Mescalero Apache	Mescalero Apache
1016-5	http://terminology.hl7.org/CodeSystem/v3-Race	Oklahoma Apache	Oklahoma Apache
1017-3	http://terminology.hl7.org/CodeSystem/v3-Race	Payson Apache	Payson Apache
1018-1	http://terminology.hl7.org/CodeSystem/v3-Race	San Carlos Apache	San Carlos Apache
1019-9	http://terminology.hl7.org/CodeSystem/v3-Race	White Mountain Apache	White Mountain Apache
1021-5	http://terminology.hl7.org/CodeSystem/v3-Race	Arapaho	Arapaho
1022-3	http://terminology.hl7.org/CodeSystem/v3-Race	Northern Arapaho	Northern Arapaho
1023-1	http://terminology.hl7.org/CodeSystem/v3-Race	Southern Arapaho	Southern Arapaho
1024-9	http://terminology.hl7.org/CodeSystem/v3-Race	Wind River Arapaho	Wind River Arapaho
1026-4	http://terminology.hl7.org/CodeSystem/v3-Race	Arikara	Arikara
1028-0	http://terminology.hl7.org/CodeSystem/v3-Race	Assiniboine	Assiniboine
1030-6	http://terminology.hl7.org/CodeSystem/v3-Race	Assiniboine Sioux	Assiniboine Sioux
1031-4	http://terminology.hl7.org/CodeSystem/v3-Race	Fort Peck Assiniboine Sioux	Fort Peck Assiniboine Sioux
1033-0	http://terminology.hl7.org/CodeSystem/v3-Race	Bannock	Bannock
1035-5	http://terminology.hl7.org/CodeSystem/v3-Race	Blackfeet	Blackfeet
1037-1	http://terminology.hl7.org/CodeSystem/v3-Race	Brotherton	Brotherton
1039-7	http://terminology.hl7.org/CodeSystem/v3-Race	Burt Lake Band	Burt Lake Band
1041-3	http://terminology.hl7.org/CodeSystem/v3-Race	Caddo	Caddo
1042-1	http://terminology.hl7.org/CodeSystem/v3-Race	Oklahoma Cado	Oklahoma Cado
1044-7	http://terminology.hl7.org/CodeSystem/v3-Race	Cahuilla	Cahuilla
1045-4	http://terminology.hl7.org/CodeSystem/v3-Race	Agua Caliente Cahuilla	Agua Caliente Cahuilla
1046-2	http://terminology.hl7.org/CodeSystem/v3-Race	Augustine	Augustine
1047-0	http://terminology.hl7.org/CodeSystem/v3-Race	Cabazon	Cabazon
1048-8	http://terminology.hl7.org/CodeSystem/v3-Race	Los Coyotes	Los Coyotes
1049-6	http://terminology.hl7.org/CodeSystem/v3-Race	Morongo	Morongo
1050-4	http://terminology.hl7.org/CodeSystem/v3-Race	Santa Rosa Cahuilla	Santa Rosa Cahuilla
1051-2	http://terminology.hl7.org/CodeSystem/v3-Race	Torres-Martinez	Torres-Martinez
1053-8	http://terminology.hl7.org/CodeSystem/v3-Race	California Tribes	California Tribes
1054-6	http://terminology.hl7.org/CodeSystem/v3-Race	Cahto	Cahto
1055-3	http://terminology.hl7.org/CodeSystem/v3-Race	Chimariko	Chimariko
1056-1	http://terminology.hl7.org/CodeSystem/v3-Race	Coast Miwok	Coast Miwok
1057-9	http://terminology.hl7.org/CodeSystem/v3-Race	Digger	Digger
1058-7	http://terminology.hl7.org/CodeSystem/v3-Race	Kawaiisu	Kawaiisu
1059-5	http://terminology.hl7.org/CodeSystem/v3-Race	Kern River	Kern River
1060-3	http://terminology.hl7.org/CodeSystem/v3-Race	Mattole	Mattole
1061-1	http://terminology.hl7.org/CodeSystem/v3-Race	Red Wood	Red Wood
1062-9	http://terminology.hl7.org/CodeSystem/v3-Race	Santa Rosa	Santa Rosa
1063-7	http://terminology.hl7.org/CodeSystem/v3-Race	Takelma	Takelma
1064-5	http://terminology.hl7.org/CodeSystem/v3-Race	Wappo	Wappo
1065-2	http://terminology.hl7.org/CodeSystem/v3-Race	Yana	Yana
1066-0	http://terminology.hl7.org/CodeSystem/v3-Race	Yuki	Yuki
1068-6	http://terminology.hl7.org/CodeSystem/v3-Race	Canadian and Latin American Indian	Canadian and Latin American Indian
1069-4	http://terminology.hl7.org/CodeSystem/v3-Race	Canadian Indian	Canadian Indian
1070-2	http://terminology.hl7.org/CodeSystem/v3-Race	Central American Indian	Central American Indian
1071-0	http://terminology.hl7.org/CodeSystem/v3-Race	French American Indian	French American Indian
1072-8	http://terminology.hl7.org/CodeSystem/v3-Race	Mexican American Indian	Mexican American Indian
1073-6	http://terminology.hl7.org/CodeSystem/v3-Race	South American Indian	South American Indian
1074-4	http://terminology.hl7.org/CodeSystem/v3-Race	Spanish American Indian	Spanish American Indian
1076-9	http://terminology.hl7.org/CodeSystem/v3-Race	Catawba	Catawba
1741-8	http://terminology.hl7.org/CodeSystem/v3-Race	Alatna	Alatna
1742-6	http://terminology.hl7.org/CodeSystem/v3-Race	Alexander	Alexander
1743-4	http://terminology.hl7.org/CodeSystem/v3-Race	Allakaket	Allakaket
1744-2	http://terminology.hl7.org/CodeSystem/v3-Race	Alanvik	Alanvik
1745-9	http://terminology.hl7.org/CodeSystem/v3-Race	Anvik	Anvik
1746-7	http://terminology.hl7.org/CodeSystem/v3-Race	Arctic	Arctic
1747-5	http://terminology.hl7.org/CodeSystem/v3-Race	Beaver	Beaver
1748-3	http://terminology.hl7.org/CodeSystem/v3-Race	Birch Creek	Birch Creek
1749-1	http://terminology.hl7.org/CodeSystem/v3-Race	Cantwell	Cantwell
1750-9	http://terminology.hl7.org/CodeSystem/v3-Race	Chalkyitsik	Chalkyitsik
1751-7	http://terminology.hl7.org/CodeSystem/v3-Race	Chickaloon	Chickaloon
1752-5	http://terminology.hl7.org/CodeSystem/v3-Race	Chistochina	Chistochina
