Code	Display	Definition
106004	Posterior carpal region	
107008	Fetal part of placenta	
108003	Condylar emissary vein	
110001	Visceral layer of Bowman's capsule	
111002	Parathyroid gland	
116007	Subcutaneous tissue of medial surface of index finger	
124002	Coronoid process of mandible	
149003	Central pair of microtubules, cilium or flagellum, not bacterial	
155008	Deep circumflex artery of ilium	
167005	Supraclavicular part of brachial plexus	
202009	Anterior division of renal artery	
205006	Left commissure of aortic valve	
206007	Gluteus maximus muscle	
221001	Articular surface, phalanges, of fourth metacarpal bone	
227002	Canal of Hering	
233006	Hepatocolic ligament	
235004	Superior labial artery	
246001	Lateral vestibular nucleus	
247005	Mesotympanum	
251007	Pectoral region	
256002	Kupffer cell	
263002	Thoracic nerve	
266005	Right lower lobe of lung	
272005	Superior articular process of lumbar vertebra	
273000	Lateral myocardium	
283001	Central axillary lymph node	
284007	Flexor tendon and tendon sheath of fourth toe	
289002	Metacarpophalangeal joint of index finger	
301000	Fifth metatarsal bone	
311007	Plantar surface of great toe	
315003	Skin of umbilicus	
318001	Cardiac impression of liver	
344001	Ankle	
345000	Penetrating atrioventricular bundle	
356000	Reticular corium	
393006	Wall of urinary bladder	
402006	Dental branches of inferior alveolar artery	
405008	Posterior temporal diploic vein	
414003	Gastric fundus	
420002	Anastomosis, heterocladic	
422005	Inferior surface of tongue	
446003	Trochanteric bursa	
457008	Collateral ligament	
461002	Lateral corticospinal tract	
464005	Basophilic normoblast	
465006	Ascending frontal gyrus	
471000	Flexor hallucis longus in leg	
480000	Cardiopulmonary circulatory system	
485005	TC - Transverse colon	
528006	Costal surface of lung	
552004	Vagus nerve parasympathetic fibers to cardiac plexus	
565008	Intervertebral disc space of fifth lumbar vertebra	
582005	Head of phalanx of great toe	
587004	Capsule of proximal interphalangeal joint of third toe	
589001	Interventricular septum	
595000	Palpebral fissure	
608002	Subcutaneous tissue of philtrum	
621009	Multivesicular body, internal vesicles	
635006	Tuberosity of distal phalanx of little toe	
650002	Superior articular process of seventh thoracic vertebra	
660006	Tracheal mucous membrane	
661005	Jaw region	
667009	Embryological structure	
688000	Fetal hyaloid artery	
691000	Small intestine submucosa	
692007	Body of ischium	
723004	Dense intermediate filament bundles	
774007	Head and neck	
790007	Visceral surface of liver	
798000	Deep temporal veins	
808000	Posterior intercostal artery	
809008	Fetal chondrocranium	
823005	Posterior cervical spinal cord nerve root	
830004	Spinous process of fifth thoracic vertebra	
836005	Oral region of face	
885000	Lamina muscularis of colonic mucous membrane	
895007	Anterior cruciate ligament of knee joint	
917004	Superior laryngeal aperture	
921006	Thyrohyoid branch of ansa cervicalis	
947002	Crus of diaphragm	
955009	Bronchus	
976004	Ovarian vein	
996007	Meningeal branch of occipital artery	
1005009	Entire diaphragmatic lymph node	
1012000	Structure of fibrous portion of pericardium	
1015003	Structure of peritonsillar tissue	
1028005	Sebaceous gland structure	
1030007	Structure of vesicular bursa of sternohyoid muscle	
1063000	Frontozygomatic suture of skull	
1075005	Promonocyte	
1076006	Subcutaneous prepatellar bursa	
1086007	Female	
1087003	Sternothyroid muscle	
1092001	Superior occipital gyrus	
1099005	Thymic cortex	
1101003	Cranial cavity	
1106008	Major calyx	
1110006	Tarsal gland	
1122009	Inferior longitudinal muscle of tongue	
1136004	Aortopulmonary septum	
1159005	Frenulum linguae	
1172006	Odontoid process of axis	
1173001	Mandibular nerve	
1174007	Chromosomes, group E	
1193009	Teres major muscle	
1216008	Synostosis	
1231004	Central nervous system meninges	
1236009	Duodenal serosa	
1243003	Inferior articular process of sixth cervical vertebra	
1246006	Dorsal digital nerves of radial nerve	
1263005	Distinctive arrangement of microtubules	
1277008	Vertebral nerve	
1307006	Glottis	
1311000	Telogen hair	
1350001	Deep flexor tendon of index finger	
1353004	Gastric serosa	
1403006	Vastus lateralis muscle	
1425000	Posterior limb of stapes	
1439000	Paravesicular lymph node	
1441004	Laryngeal saccule	
1456008	Yellow fibrocartilage	
1467009	Parietal branch of superficial temporal artery	
1484003	Structure of metatarsal region of foot	
1490004	Soft tissues of trunk	
1502004	Anterior cecal artery	
1511004	Ejaculatory duct	
1516009	Frontomental diameter of head	
1527006	Lamina of fourth thoracic vertebra	
1537001	Intervertebral disc of eleventh thoracic vertebra	
1541002	Coccygeal plexus	
1562001	Nucleus pulposus of intervertebral disc of third lumbar vertebra	
1569005	Nail of third toe	
1580005	Nucleus ventralis lateralis	
1581009	Ileal artery	
1584001	Symphysis	
1600003	Splenius capitis muscle	
1605008	Histioblast	
1610007	Otoconia	
1611006	Paramammary lymph node	
1617005	Intrinsic larynx	
1620002	Metaphase nucleus	
1626008	Third thoracic vertebra	
1627004	Medial collateral ligament of knee joint	
1630006	Supraorbital vein	
1631005	Foregut	
1650005	Hilum of left lung	
1655000	Transverse peduncular tract nucleus	
1659006	Nucleus medialis dorsalis	
1684009	Ligamentum teres of liver	
1706004	Thymic lobule	
1707008	Ventral nuclear group of thalamus	
1711002	Periorbital region	
1716007	Cupula ampullaris	
1721005	Right tonsil	
1729007	Central tegmental tract	
1732005	TD - Thoracic duct	
1765002	Structure of lymphatic vessel of thorax	
1780008	Premelanosome	
1781007	Sacroiliac region	
1797002	Naris	
1818002	Greater circulus arteriosus of iris	
1825009	Root of nose	
1832000	Scleral conjunctiva	
1840006	Arrector pili muscle	
1849007	Pharyngeal recess	
1853009	Structure of suprahyoid muscle	
1874005	Promontory lymph node	
1893007	Joint of upper extremity	
1895000	Musculophrenic vein	
1902009	Skin of external ear	
1910005	Ear	
1918003	Suprarenal aorta	
1927002	Left elbow	
1992003	Porus acusticus internus	
1997009	Cingulum dentis	
2010005	Clavicular facet of scapula	
2020000	Superior thoracic artery	
2031008	Structure of anterior median fissure of spinal cord	
2033006	Right fallopian tube	
2044003	Vaginal nerves	
2048000	Lingual tonsil	
2049008	Chorionic villi	
2059009	Skin of ear lobule	
2071003	Reticular formation of spinal cord	
2076008	Head of phalanx of hand	
2083001	Nucleus ambiguus	
2095001	Accessory sinus	
2123001	Mammilloinfundibular nucleus	
2150006	Urinary tract transitional epithelial cell	
2156000	Glial cell	
2160002	Ligamentum arteriosum	
2175005	Pharyngeal cavity	
2182009	Endometrial zona basalis	
2192001	Clavicular part of pectoralis major muscle	
2205003	Lamina of fifth thoracic vertebra	
2209009	Cerebral basal surface	
2236006	Lesser osseous pelvis	
2246008	Type I hair cell	
2255006	Subserosa	
2285001	Structure of torcular Herophili	
2292006	Structure of nasopharyngeal gland	
2302002	Vein of the knee	
2305000	Structure of spinous process of cervical vertebra	
2306004	Structure of base of third metacarpal bone	
2327009	Salivary seromucous gland	
2330002	Structure of segmental bronchial branches	
2332005	Metencephalon of foetus	
2334006	Renal calyx	
2349003	Structure of nasal suture of skull	
2372001	Structure of medial surface of toe	
2383005	Structure of papillary muscles of right ventricle	
2389009	Structure of superior margin of adrenal gland	
2395005	Structure of transverse facial artery	
2397002	Structure of first metatarsal facet of medial cuneiform bone	
2400006	Universal designation 21	
2402003	Structure of dorsum of foot	
2421006	Structure of submaxillary ganglion	
2433001	Structure of digital tendon and tendon sheath of foot	
2436009	Tunica intima of vein	
2453002	Subcutaneous tissue structure of posterior surface of forearm	
2454008	Structure of articular surface, third metacarpal, of second metacarpal bone	
2484000	Skin structure of frenulum of clitoris	
2489005	Structure of medial check ligament of eye	
2499000	Entire cisterna pontis	
2502001	Membrane of lysosome	
2504000	Structure of pancreatic plexus	
2510000	Femoral triangle structure	
2539000	Structure of superior rectal artery	
2543001	Structure of cuboid articular facet of fourth metatarsal bone	
2550002	Bone structure of phalanx of thumb	
2577006	Structure of gracilis muscle	
2579009	Plasmablast	
2592007	All extremities	
2600000	Structure of flexor pollicis longus muscle tendon	
2620004	Intervertebral disc structure of third thoracic vertebra	
2639009	Neuroendocrine tissue	
2653009	Structure of posterior thalamic radiation of internal capsule	
2666009	Structure of semispinalis capitis muscle	
2672009	Structure of anterior cutaneous branch of lumbosacral plexus	
2675006	Structure of anterior ethmoidal artery	
2681003	Structure of dorsal nerve of penis	
2682005	Bladder mucosa	
2686008	Structure of medial olfactory gyrus	
2687004	Structure of Bowman space	
2695000	Left maxillary sinus structure	
2703009	Entire calcarine artery	
2712006	Structure of capsule of ankle joint	
2718005	Structure of apical foramen of tooth	
2726002	Structure of fold for stapes	
2730004	Entire vitelline vein of placenta	
2739003	Endometrial structure	
2741002	Structure of medial occipitotemporal gyrus	
2746007	Circular layer of gastric muscularis	
2748008	Spinal cord structure	
2759004	Eccrine gland structure	
2771005	Lamina propria of ureter	
2789006	Apocrine gland structure	
2792005	Structure of pars tensa of tympanic membrane	
2803000	Structure of tendon sheath of popliteus muscle	
2810006	Structure of cremasteric fascia	
2812003	Structure of head of femur	
2824005	Structure of spinous process of fourth thoracic vertebra	
2826007	Structure of lamina of fourth lumbar vertebra	
2830005	Structure of dorsal digital nerves of lateral hallux and medial second toe	
2839006	Structure of perivesicular tissues of seminal vesicles	
2841007	Renal artery structure	
2845003	Structure of respiratory epithelium	
2848001	Structure of superficial epigastric artery	
2855004	Structure of accessory cephalic vein	
2861001	Entire gland (organ)	
2894003	Structure of posterior epiglottis	
2905008	Structure of anterior ligament of uterus	
2909002	Structure of posterior portion of diaphragmatic aspect of liver	
2920002	Structure of facial nerve motor branch	
2922005	Structure of posterior papillary muscle of left ventricle	
2923000	Subcutaneous tissue structure of supraorbital area	
2954001	Supernumerary deciduous tooth	
2969000	Anatomical space structure	
2979003	Bone structure of medial cuneiform	
2986006	Structure of talar facet of navicular bone of foot	
2998001	Entire right margin of uterus	
3003007	Internal capsule anterior limb structure	
3008003	White fibrocartilage	
3028004	Transitional epithelial cell	
3039001	Subcutaneous tissue structure of thigh	
3042007	Structure of glomerular urinary pole	
3054007	Structure of articular surface, metacarpal, of phalanx of thumb	
3055008	Structure of bone marrow of vertebral body	
3056009	Structure of anteroventral nucleus of thalamus	
3057000	Nerve structure	
3058005	PNS - Peripheral nervous system	
3062004	Spinal arachnoid	
3068000	Structure of seminal vesicle lumen	
3081007	Mitochondrion in division	
3093003	Structure of tendinous arch of pelvic fascia	
3100007	Clinical crown of tooth	
3113001	Structure of suprachoroidal space	
3117000	Structure of dorsal surface of index finger	
3118005	Structure of trabecula carnea of left ventricle	
3120008	Pleural membrane structure	
3134008	Structure of head of fourth metatarsal bone	
3138006	Bone tissue	
3153003	Structure of tractus olivocochlearis	
3156006	Structure of obturator artery	
3159004	Structure of costocervical trunk	
3169005	Spinal nerve structure	
3178004	Structure of raphe of soft palate	
3194006	Endocardium of right atrium	
3198009	Monostomatic sublingual gland	
3215002	Subcutaneous tissue structure of nuchal region	
3222005	All large arteries	
3227004	Left coronary artery main stem	
3236000	Structure of posterior segment of right upper lobe of lung	
3243006	Structure of parametrial lymph node	
3255000	Papillary area	
3262009	Structure of root canal of tooth	
3279003	Structure of pedicle of third cervical vertebra	
3295003	Structure of ventral anterior nucleus of thalamus	
3301002	Tectopontine fibers	
3302009	Splenic branch of splenic artery	
3315000	Structure of vestibulospinal tract	
3332001	Occipitofrontal diameter of head	
3336003	Haversian canal	
3341006	Right lung structure	
3350008	Entire right commissure of pulmonic valve	
3362007	Intertragal incisure structure	
3366005	Structure of anterior papillary muscle of left ventricle	
3370002	Structure of supporting tissue of rectum	
3374006	Secondary spermatocyte	
3377004	Structure of agger nasi	
3382006	Structure of rima oris	
3383001	Nonsegmented basophil	
3394002	Suboccipitobregmatic diameter of head	
3395001	Structure of superior palpebral arch	
3396000	Structure of mesogastrium	
3400000	Cell of bone	
3409004	Structure of lateral margin of forearm	
3417007	Structure of rotator muscle	
3438001	Deep lymphatic of upper extremity	
3444002	Thalamostriate vein	
3447009	Penetrated oocyte	
3460003	Structure of anterodorsal nucleus of thalamus	
3462006	Structure of commissure of tricuspid valve	
3471002	Posterior midline of trunk	
3478008	Structure of vastus medialis muscle	
3481003	Structure of embryonic testis	
3488009	Annulate lamella, cisternal lumen	
3490005	Subcutaneous tissue structure of suboccipital region	
3524005	Structure of lateral wall of mastoid antrum	
3538003	Structure of capsule of proximal tibiofibular joint	
3541007	Structure of dorsal metatarsal artery	
3553006	Structure of thyroid capsule	
3556003	Structure of dorsal nucleus of trapezoid body	
3563003	Muscularis of ureter	
3572006	Vertebral body	
3578005	Structure of body of gallbladder	
3582007	Structure of gastrophrenic ligament	
3584008	T10 dorsal arch	
3594003	Structure of straight part of longus colli muscle	
3608004	Ischiococcygeus muscle	
3609007	Structure of occipital branch of posterior auricular artery	
3646006	Lamellipodium	
3663005	Structure of tympanic ostium of Eustachian tube	
3665003	Pelvic wall structure	
3670005	Entire subpyloric lymph node	
3711007	Great vessel	
3743007	Structure of lateral thoracic artery	
3761003	Structure of nucleus pulposus of intervertebral disc of first thoracic vertebra	
3766008	Subcutaneous tissue structure of lower extremity	
3785006	Entire dorsal metacarpal ligament	
3788008	Structure of apical segment of right lower lobe of lung	
3789000	Enteroendocrine cell	
3810000	Septal cartilage structure	
3838008	Structure of apex of coccyx	
3860006	Structure of transplanted liver	
3865001	Structure of interscapular region of back	
3867009	Structure of dorsal surface of great toe	
3876002	Subcutaneous tissue structure of femoral region	
3877006	Structure of common carotid plexus	
3910004	Subcutaneous tissue structure of lateral surface of fourth toe	
3916005	Structure of occipital lymph node	
3924000	Structure of pericardiophrenic artery	
3931001	OW - Oval window	
3935005	Head of tenth rib structure	
3937002	Structure of entorhinal cortex	
3954005	Lacrimal sac structure	
3956007	Structure of fifth metatarsal articular facet of fourth metatarsal bone	
3959000	Structure of rectus capitis muscle	
3960005	Olfactory tract structure	
3964001	Structure of gyrus of brain	
3966004	Entire parietal branch of anterior cerebral artery	
3977005	Subcutaneous tissue structure of concha	
3984002	Deep vein of clitoris	
3989007	Structure of medial globus pallidus	
4015004	Chromosomes, group A	
4019005	Posterior commissure of labium majorum	
4029003	Eosinophilic progranulocyte	
4061004	Lateral orbital wall	
4066009	Structure of capsule of proximal interphalangeal joint of index finger	
4072009	Structure of fourth coccygeal vertebra	
4081003	Entire dorsal lingual vein	
4093007	Structure of vagus nerve bronchial branch	
4111006	Macula of the saccule	
4117005	Lumbosacral spinal cord central canal structure	
4121003	Structure of superior frontal sulcus	
4146003	Structure of artery of extremity	
4148002	Structure of palmar surface of little finger	
4150005	Celiac nervous plexus structure	
4158003	Abdominal aortic plexus structure	
4159006	Hyparterial bronchus	
4180000	Both lower extremities	
4193005	Entire extensor tendon and tendon sheath of fifth toe	
4205002	TÃ¼rk cell	
4212006	Epithelial cells	
4215008	Head of second rib structure	
4247003	Bone structure of first metacarpal	
4258007	Posterior tibial vein	
4268002	Lateral spinorubral tract	
4276000	Structure of inferior articular process of seventh cervical vertebra	
4281009	Structure of middle portion of ileum	
4295007	Structure of paracortical area of lymph node	
4303006	Cartilage canal	
4312008	Anterior midline of abdomen	
4317002	Structure of spinalis muscle	
4328003	Protoplasmic astrocyte	
4335006	Upper jaw region	
4352005	Structure of subchorionic space	
4358009	Structure of lateral surface of little finger	
4360006	Stratum spinosum structure	
4369007	Small intestine mucous membrane structure	
4371007	Structure of fourth metatarsal facet of lateral cuneiform bone	
4375003	Structure of incisure of cartilaginous portion of auditory canal	
4377006	Structure of parafascicular nucleus of thalamus	
4394008	Scala vestibuli structure	
4402002	Structure of anterior articular surface for talus	
4419000	Tracheal submucosa	
4421005	Cellular structures	
4430002	Structure of clivus ossis sphenoidalis	
4432005	Structure of ductus arteriosus	
4442007	Dental arch structure	
4486002	Structure of accessory sinus gland	
4524000	Structure of subclavian plexus	
4527007	Joint structure of lower extremity	
4537002	Structure of internal medullary lamina of thalamus	
4548009	Lamellated granule, as in surfactant-secreting cell	
4549001	Entire vagus nerve parasympathetic fibers to liver, gallbladder, bile ducts and pancreas	
4566004	Structure of tentorium cerebelli	
4573009	Desmosome	
4578000	Skin structure of posterior surface of thigh	
4583008	Structure of splenius muscle of trunk	
4588004	Structure of middle trunk of brachial plexus	
4596009	Larynx structure	
4603002	Structure of base of phalanx of foot	
4606005	Tubercle of eighth rib structure	
4621004	Structure of lesser tuberosity of humerus	
4624007	Structure of lymphatic cord	
4647008	Lipid droplet, homogeneous	
4651005	Structure of tunica albuginea of corpus spongiosum	
4658004	Skin structure of nuchal region	
4677002	Basal lamina, inclusion in subepithelial location	
4703008	Cardinal vein structure	
4717004	Neutrophilic myelocyte	
4718009	Entire venous plexus of the foramen ovale basis cranii	
4743003	Structure of ventral sacrococcygeal ligament	
4755009	Structure of medial surface of great toe	
4759003	Structure of gemellus muscle	
4766002	Structure of supracardinal vein	
4768001	Structure of perineal nerve	
4774001	Structure of phrenic nerve pericardial branch	
4775000	Structure of ventral posterior inferior nucleus	
4799000	Deiter cell	
4810005	Structure of uterine venous plexus	
4812002	Anterior tibial compartment structure	
4828007	Femoral canal structure	
4840007	Subcutaneous tissue structure of ring finger	
4843009	Ampulla of semicircular duct	
4861000	Structure of tuberculum impar	
4866005	Constrictor muscle of pharynx structure	
4870002	Structure of dorsal tegmental nuclei of midbrain	
4871003	Lamina of modiolus of cochlea	
4881004	Entire sublingual vein	
4888005	Entire interlobular vein of kidney	
4897009	Cell membrane, prokaryotic	
4905007	Structure of uterovaginal plexus	
4906008	Mastoid antrum structure	
4924005	Cerebellar gracile lobule	
4942000	Lower limb lymph node structure	
4954000	Structure of radial notch of ulna	
4956003	Subcutaneous tissue structure of back	
4958002	Amygdaloid structure	
5001007	Structure of superior temporal sulcus	
5023006	Structure of yellow bone marrow	
5026003	Structure of posterior surface of prostate	
5046008	Structure of superficial dorsal veins of clitoris	
5068003	Structure of obturator internus muscle ischial bursa	
5069006	Structure of rugal column	
5076001	Structure of infrasternal angle	
5115006	Structure of posterior auricular vein	
5122003	Entire angle of first rib	
5128004	Lens zonules	
5140004	Permanent upper right 6 tooth	
5192008	Structure of intervertebral foramen of twelfth thoracic vertebra	
5194009	Structure of epithelium of lens	
5195005	Structure of right external carotid artery	
5204005	Superior ileocecal recess	
5213007	Frontal vein	
5225005	Structure of uterine ostium of fallopian tube	
