Code	Display	Definition
58207001	Competitive protein binding assay technique	
115341008	Total measurement	
246363001	Acquisition technique	
246502009	Bladder filling technique	
246503004	Catheter movement technique	
246504005	Near reading technique	
246505006	Photon detection technique	
246506007	Provocation technique	
246507003	Stimulation technique	
255459008	Flash	
255463001	Single tetany technique	
255583002	Retruded jaw relation technique	
256233002	Rectally infused saline solution	
257414001	Adult N types	
257425005	Bright field microscopy technique	
257428007	Dent sleeve technique	
257452000	Sbisa bar	
257456002	Solid sphere technique	
257460004	Swept spatial frequency bars	
257465009	Wax wafer technique	
257740006	V-Y advancement technique	
257771002	Cementing	
257772009	Cementing with normal viscosity cement	
257774005	Cementing with low viscosity cement	
257775006	Cementing with normal viscosity cement containing antibiotic	
257776007	Cementing with low viscosity cement containing antibiotic	
257827009	Press-fit component fixation	
257932009	Direct suturing technique	
258005004	Accelerometry technique	
258006003	Acidometric method	
258009005	Boyden chamber technique	
258010000	Catheter tip manometry technique	
258011001	Chessboard method	
258012008	Confocal laser scanning fluorescence technique	
258013003	Conventional manometry technique	
258014009	Dilution and colorimetry technique	
258017002	Double sampling dye-dilution test	
258018007	Drainage bottle measurement	
258019004	Drainage measurement	
258020005	Dye dilution technique	
258021009	Dye test	
258022002	E test	
258025000	Enzyme mediated immunotransferase assay technique	
258026004	Enzyme method	
258027008	Equilibration method	
258030001	Gradient method	
258031002	Helium single breath technique	
258033004	Helium steady state technique	
258034005	Helium dilution	
258035006	High pressure liquid chromatography	
258036007	Immunoblotting	
258037003	Immunoradiometry	
258038008	Indicator dilution technique	
258039000	Iodometric method	
258041004	Isoenzyme typing	
258044007	Lectin typing	
258045008	Lipopolysaccharide typing	
258047000	Metabolic inhibition test	
258048005	Microbiological method	
258053000	Moorfields reading book test	
258054006	Natural filling	
258055007	Nitrocefin method	
258056008	Nitrogen washout	
258059001	Pharmacological stimulation	
258060006	Phenotyping	
258063008	Pneumatic otoscopy	
258065001	Polyethylene glycol precipitation	
258066000	Polymerase chain reaction	
258067009	Post-tetanic count stimulation	
258068004	Protein profiling	
258069007	Pyrolysis mass spectrometry	
258070008	Rapid-pull through	
258071007	Rebreathing method	
258075003	Serotyping	
258076002	Sham feed technique	
258077006	Sheridan Gardiner technique	
258078001	Station pull-through	
258080007	Thermodilution technique	
258081006	Ultraviolet absorption	
258082004	Vector volume analysis	
258083009	Visual estimation	
258084003	Weighing of swabs	
258086001	Zymodeme typing	
258087005	Agar dilution	
258094008	Dark ground microscopy technique	
258099003	Fluorescence microscopy technique	
258100006	Heterophoria method	
258102003	Intermittent withdrawal technique	
258109007	Restriction fragment length polymorphism technique	
258110002	Saline method	
258112005	Sequence specific oligonucleotide probe	
258113000	Sequence specific primers-polymerase chain reaction	
258114006	SRH - Single radial hemolysis	
258118009	Suction drainage measurement	
258119001	Thermal test	
