Code	Display	Definition
261000	Codeine phosphate	
336001	Fibrinogen Tokyo II	
363000	Fibrinogen San Juan	
519005	Free protein S	
585007	SP - Substance P	
693002	Trichothecene	
698006	Erythromycin lactobionate	
699003	Coal tar extract	
747006	Oxamniquine	
873008	Urethan	
925002	Sodium iodipamide	
1018001	Nornicotine	
1025008	^93^Molybdenum	
1057009	Phosphate salt	
1091008	Coagulation factor inhibitor	
1171004	Fibrinogen Kawaguchi	
1190007	Mephenoxalone	
1244009	Fibrinogen Madrid I	
1269009	Amikacin sulfate	
1325004	Metocurine iodide	
1336006	Deoxycortone	
1355006	Coagulation factor IX Oxford 3 variant	
1368003	Iodine 131	
1381005	^126^Iodine	
1450002	Methylpentynol	
1476002	Codeine sulfate	
1536005	Pargyline hydrochloride	
1575001	Maltose tetrapalmitate	
1603001	Cobalt isotope	
1668008	Ceforanide	
1914001	von Willebrand factor antibody	
1944003	Coagulation factor X Patient variant	
1956002	Buclizine hydrochloride	
1971003	Loxapine hydrochloride	
2029004	Fibrinogen Oslo II	
2125008	Betazole	
2195004	Tocainide hydrochloride	
2197007	Boric acid topical agent	
2201007	Bacteriopurpurin	
2212007	Fibrinogen Bethesda II	
2215009	Azuresin	
2249001	Gentamicin sulfate	
2264001	Selenium isotope	
2346005	Vascormone	
2537003	Antituberculosis agent	
2660003	Sodium dehydrocholate	
2680002	Factor XIII antibody	
2796008	Methanthelinium	
2799001	Methylbenzethonium	
2869004	Ethanoic acid	
2878005	Pethidine hydrochloride	
2927004	Rescinnamine	
2958003	Zinc caprylate	
2964005	Dimethoxyamphetamine	
2991007	Mecamylamine hydrochloride	
2995003	Arecoline	
3031003	Dihydroxyaluminum sodium carbonate	
3066001	Triiodothyroacetic acid	
3087006	Oil of male fern	
3136005	Cefoperazone sodium	
3142009	Azacyclonol	
3145006	Penicillic acid	
3209002	Pancuronium sodium	
3212004	Manganese sulfate	
3225007	Fibrinogen Seattle I	
3342004	Copper isotope	
3378009	Imipramine hydrochloride	
3379001	Merthiolate	
3501003	Isoxsuprine hydrochloride	
3592004	Short-acting thyroid stimulator	
3597005	Acebutolol hydrochloride	
3617004	^79^Selenium	
3672002	Fibrinogen Caracas	
3693004	Fibrinogen Dusart	
3793006	Soluble barium compound	
3823007	Prochlorperazine edisylate	
3829006	Fe - Iron	
3874004	Hydrocodone bitartrate	
3906002	Rectified birch tar oil	
3932008	^64^Copper	
3941003	Metronidazole hydrochloride	
3945007	Tin isotope	
3983008	N,-N-dimethyltryptamine	
4014000	Sulfisomidine	
4025009	Captodiame	
4043008	Etidocaine hydrochloride	
4076007	PTH - Parathyroid hormone	
4188007	Fibrinogen Sydney II	
4203009	Imipramine pamoate	
4334005	Tar oil	
4353000	Di-n-butylphthalate	
4355007	Coagulation factor IX San Dimas variant	
4413004	Benzypyrinium	
4423008	Fibrinogen New York II	
4480008	Sulfaethidole	
4518006	Buthenal	
4616002	Triclobisonium chloride	
4681002	Potassium permanganate	
4700006	Bovine insulin	
4780009	Secbutabarbital sodium	
4814001	Valethamate	
4844003	3,3' Diiodothyronine	
5007006	Papain	
5142007	Coagulation factor II Houston variant	
5167005	Zinc chloride fumes	
5172001	Coagulation factor Xa	
5220000	Bacitracin	
5312000	^65^Zinc	
5405008	^60^Cobalt	
5477001	Ferric subsulfate	
5641004	Valproate semisodium	
5647000	Griseofulvin ultramicrosize	
5657004	Coal tar topical solution	
5681006	Ceftizoxime sodium	
5691000	Absorbable gelatin sponge	
5699003	Somatomedin C	
5739006	Stramonium	
5767002	Sulfamerazine	
5774007	White petrolatum	
5907009	Quinidine polygalacturonate	
5955009	Diethylene glycol	
6054001	Doxylamine succinate	
6088007	Benzfetamine hydrochloride	
6162007	Meclocycline	
6237004	Bemegride	
6260007	Protokylol	
6333002	Squill extract	
6394006	Phentermine hydrochloride	
6495008	Fibrinogen Montreal II	
6513000	Flumethiazide	
6524003	Distilled spirits	
