Code	Display	Definition
7946007	Drug suspension	
11190007	Drug stick	
17519006	Lotion	
30843009	Drug aerosol foam	
36875001	Drug patch	
37937005	Drug paste	
46992007	Pill	
48582000	Caplet	
52262001	Drug aerosol	
63316001	Liniment	
64241004	Drug pledget	
66076007	Chewable tablet	
77899000	Drug solution	
85581007	Drug powder	
385018001	Oral drops	
385019009	Oral drops solution	
385020003	Oral drops suspension	
385021004	Oral drops emulsion	
385022006	Oral liquid	
385023001	Oral solution	
385024007	Oral suspension	
385025008	Oral emulsion	
385026009	Powder for oral solution	
385027000	Powder for oral suspension	
385028005	Granules for oral solution	
385029002	Granules for oral suspension	
385032004	Syrup	
385033009	Powder for syrup	
385034003	Granules for syrup	
385035002	Soluble tablet	
385036001	Dispersible tablet	
385038000	Oral gel	
385039008	Oral paste	
385041009	Oral powder	
385042002	Effervescent powder	
385043007	Granules	
385044001	Effervescent granules	
385045000	Gastro-resistant granules	
385046004	Prolonged-release granules	
385047008	Modified-release granules	
385048003	Cachet	
385049006	Capsule	
385050006	Hard capsule	
385051005	Soft capsule	
385052003	Gastro-resistant capsule	
385053008	Prolonged-release capsule	
385054002	Modified-release capsule	
385055001	Tablet	
385057009	Film-coated tablet	
385058004	Effervescent tablet	
385059007	Gastro-resistant tablet	
385060002	Prolonged-release tablet	
385061003	Modified-release tablet	
385062005	Oral lyophilisate	
385063000	Oral gum	
385064006	Pillule	
385069001	Oromucosal liquid	
385070000	Oromucosal solution	
385071001	Oromucosal suspension	
385073003	Oromucosal spray	
385074009	Sublingual spray	
385077002	Gingival solution	
385078007	Oromucosal gel	
385079004	Oromucosal paste	
385080001	Medicated chewing-gum	
385081002	Gingival gel	
385082009	Gingival paste	
385083004	Oromucosal capsule	
385084005	Sublingual tablet	
385085006	Buccal tablet	
385086007	Muco-adhesive buccal tablet	
385087003	Lozenge	
385088008	Dental gel	
385089000	Dental stick	
385090009	Dental insert	
385091008	Dental powder	
385092001	Dental liquid	
385094000	Dental solution	
385095004	Dental suspension	
385096003	Dental emulsion	
385098002	Bath additive	
385099005	Cream	
385100002	Gel	
385101003	Ointment	
385102005	Cutaneous paste	
385103000	Cutaneous foam	
385104006	Shampoo	
385105007	Cutaneous spray	
385106008	Cutaneous solution spray	
385107004	Cutaneous liquid	
